,model_name,country_code,item_group_code,outlet_group_code,week_of_forecast,actual_check,absolute_actual_difference,percentage_actual_difference,absolute_forecast_difference,percentage_forecast_difference,cell,mape_diff,1-rmsse_diff,wide_mape_diff,abs_mape_diff,abs_wide_mape_diff,abs_1-rmsse_diff
0,theta,CH,MOBILE_COMPUTING,ALL,2701,0.0,36936.0,13.0,34727.8643715991,12.0,CH-MOBILE_COMPUTING-ALL,-0.00986171520644491,-0.03095849906286874,-0.008799139174731898,0.00986171520644491,0.008799139174731898,0.03095849906286874
1,theta,CH,MOBILE_COMPUTING,ALL,2702,0.0,37756.0,13.0,34494.236270377456,12.0,CH-MOBILE_COMPUTING-ALL,-0.007631500069660305,-0.034692535619034015,-0.011680640416132999,0.007631500069660305,0.011680640416132999,0.034692535619034015
2,theta,CH,MOBILE_COMPUTING,ALL,2703,0.0,37712.0,13.0,35155.636357166644,12.0,CH-MOBILE_COMPUTING-ALL,-0.0073175123813407905,-0.03520411958996672,-0.009288393976745501,0.0073175123813407905,0.009288393976745501,0.03520411958996672
3,theta,CH,MOBILE_COMPUTING,ALL,2704,0.0,37737.99999999999,13.0,35521.3836613725,12.0,CH-MOBILE_COMPUTING-ALL,-0.006040843035287,-0.04427518306816902,0.0018319700038963997,0.006040843035287,0.0018319700038963997,0.04427518306816902
4,theta,CH,MOBILE_COMPUTING,ALL,2705,0.0,38217.99999999999,13.0,35391.26693322338,13.0,CH-MOBILE_COMPUTING-ALL,-0.005122688503086406,-0.05010310086521641,0.007197342092852001,0.005122688503086406,0.007197342092852001,0.05010310086521641
5,theta,CH,MOBILE_COMPUTING,ALL,2706,0.0,40134.0,14.000000000000002,36611.20783580541,13.0,CH-MOBILE_COMPUTING-ALL,-0.005906855720461401,-0.08099519091996449,0.0074237711400061,0.005906855720461401,0.0074237711400061,0.08099519091996449
6,theta,DE,DIGITAL_CAMERAS,ALL,2701,3.637978807091713e-12,8578.819603174585,3.0,10112.872546903793,3.0,DE-DIGITAL_CAMERAS-ALL,-0.0059373246366432875,0.01766305389219852,0.0014706026370778918,0.0059373246366432875,0.0014706026370778918,0.01766305389219852
7,theta,DE,DIGITAL_CAMERAS,ALL,2702,3.637978807091713e-12,8454.990603174589,3.0,11010.412128537198,3.0,DE-DIGITAL_CAMERAS-ALL,-0.0026576682636554882,0.0161146265825462,0.004090178060782795,0.0026576682636554882,0.004090178060782795,0.0161146265825462
8,theta,DE,DIGITAL_CAMERAS,ALL,2703,3.637978807091713e-12,8337.374936507924,3.0,10787.577432289536,3.0,DE-DIGITAL_CAMERAS-ALL,-0.007591967216803913,0.017220104093313926,0.005135146767300092,0.007591967216803913,0.005135146767300092,0.017220104093313926
9,theta,DE,DIGITAL_CAMERAS,ALL,2704,3.637978807091713e-12,8315.46010317459,3.0,9922.310087329433,3.0,DE-DIGITAL_CAMERAS-ALL,-0.006678304787299305,0.017367422013060796,0.002828240510132099,0.006678304787299305,0.002828240510132099,0.017367422013060796
10,theta,DE,DIGITAL_CAMERAS,ALL,2705,3.637978807091713e-12,8378.894436507924,3.0,12211.59647899398,4.0,DE-DIGITAL_CAMERAS-ALL,-0.011076218384748288,0.015601297548951398,0.010784856435155102,0.011076218384748288,0.010784856435155102,0.015601297548951398
11,theta,DE,DIGITAL_CAMERAS,ALL,2706,3.637978807091713e-12,8101.609603174598,3.0,12053.07659913913,4.0,DE-DIGITAL_CAMERAS-ALL,-0.0109501899453891,0.015842690903771106,0.011782020101883003,0.0109501899453891,0.011782020101883003,0.015842690903771106
12,theta,DE,PTV_FLAT,ALL,2701,0.0,21056.733144444035,1.0,20659.28730481086,1.0,DE-PTV_FLAT-ALL,-0.0009352226976598044,-0.000355024370910173,-0.0011189748162308,0.0009352226976598044,0.0011189748162308,0.000355024370910173
13,theta,DE,PTV_FLAT,ALL,2702,0.0,21004.195977777388,1.0,23347.0813366378,1.0,DE-PTV_FLAT-ALL,0.00014860959543680496,-0.0018848167946050043,1.4830400308002423e-05,0.00014860959543680496,1.4830400308002423e-05,0.0018848167946050043
14,theta,DE,PTV_FLAT,ALL,2703,0.0,21256.515620634527,1.0,23150.967849077075,1.0,DE-PTV_FLAT-ALL,6.036091884550898e-05,-0.0017519293693826765,9.497110885610394e-05,6.036091884550898e-05,9.497110885610394e-05,0.0017519293693826765
15,theta,DE,PTV_FLAT,ALL,2704,0.0,21063.032287301226,1.0,24056.339461144555,1.0,DE-PTV_FLAT-ALL,9.912681690890657e-05,-0.001818193683548186,0.0005890140573308958,9.912681690890657e-05,0.0005890140573308958,0.001818193683548186
