period_seq,b2b_timeseries
2527,24836.890042295105
2528,24272.589894855133
2529,25518.796588672132
2530,24548.287132689347
2531,28177.344028427822
2532,30977.74909783892
2533,31719.065619414585
2534,32790.522865314095
2535,27070.394201158924
2536,26340.343404945033
2537,24891.98261830487
2538,23606.10919618804
2539,23307.06691355825
2540,23657.296245750065
2541,20845.54002059109
2542,19728.81860786623
2543,25076.424683063673
2544,21538.276548139747
2545,17961.559680593626
2546,19932.494681870703
2547,20744.802635579978
2548,19001.689250489217
2549,18198.35143409742
2550,19776.22235845525
2551,21473.093789969826
2552,43400.488990173566
2553,58004.44828356427
2554,45747.56684372914
2555,50706.3947239238
2556,50248.58364023701
2557,20110.560138036
2558,19749.812688307367
2559,21412.50279953824
2560,19077.58829457537
2561,18865.503232581803
2562,19537.76920091464
2563,20985.397152323232
2564,19458.645132609967
2565,18531.479118412695
2566,20716.02490092364
2567,18960.387417360416
2568,21023.61005821956
2569,21460.849955313686
2570,24445.39537864913
2571,22150.07284307359
2572,28892.331401686763
2573,24234.937809620933
2574,18399.566307438905
2575,20790.962463591964
2576,21099.993878302983
2577,21694.334646007104
2578,21814.27045397585
2579,21664.028968838174
2580,22548.86806508988
2581,20339.202779217856
2582,25342.499638598245
2583,23053.83065167132
2584,23685.51229048729
2585,24104.629260657643
2586,31130.34101955489
2587,21304.71945332444
2588,23698.654529317904
2589,22403.569132858334
2590,22028.859023587494
2591,19949.574877724608
2592,18518.481862831613
2593,21969.48570704296
2594,19559.67502804944
2595,18220.073431046087
2596,18193.050107323386
2597,16823.80504251532
2598,16008.856612619822
2599,15936.3656066156
2600,17274.5510615813
2601,23068.099050421697
2602,20451.91980117726
2603,18654.639329718335
2604,19166.754721408728
2605,44435.12326828437
2606,44789.01587640791
2607,39679.56482495284
2608,42465.0886463627
2609,17742.713840215343
2610,16762.98471356421
2611,18016.53156493506
2612,17450.72707967032
2613,14267.023758297251
2614,15678.984418359409
2615,16677.440342000486
2616,16028.158648180943
2617,14799.760167842454
2618,15607.904311375522
2619,16620.167551879284
2620,14046.161070864522
2621,7828.503060904072
2622,6715.80708668445
2623,10293.36032921909
2624,9983.194042196943
2625,8028.182435697158
2626,9104.419339303213
2627,10898.258535078452
2628,13644.548710151308
2629,14275.263291788628
2630,12776.009176807773
2631,15823.379826138867
2632,13484.492541223419
2633,13692.332138556283
2634,15294.15588190342
2635,17620.952771448505
2636,17583.336051692084
2637,18090.58212679605
2638,17600.311304620933
2639,16554.172518077743
2640,17557.025912498004
2641,16725.2666012348
2642,14439.60056480031
2643,14706.069643453317
2644,15068.315815745069
2645,14916.573701504785
2646,14214.130725061295
2647,14049.564235268408
2648,13864.774148877692
2649,12613.25011677457
2650,14094.657137951916
2651,16372.475680757152
2652,14151.097559997192
2653,13792.377853909164
2654,15586.719004112716
2655,18404.685168756896
2656,18109.491218591866
2657,50920.30353326971
2658,42925.730284060526
2659,36831.25505555108
2660,32982.71378633301
2661,11082.352030611924
2662,13797.464682794322
2663,11135.214992215551
2664,11375.105178764048
2665,10086.121988377614
2666,10020.705376102807
2667,10334.769392325232
2668,11962.69025677262
2669,10327.451453575815
2670,9855.601106730268
2671,10135.066689454705
2672,12251.183137540216
2673,11805.004550339827
2674,12669.809631673515
2675,9560.559197065984
2676,10898.89970818762
2677,9795.766944852918
2678,10057.012655488685
2679,10105.297753464243
2680,12029.526874316824
2681,10556.674375859408
2682,12611.1367911149
2683,14052.179786308416
2684,13459.111444482744
2685,14270.39839963176
2686,13186.58928591378
2687,17596.35497623816
2688,15213.65016152826
2689,15034.551844054482
2690,14361.138007071244
2691,14482.15134496701
2692,15251.872298289834
2693,14560.048901430171
2694,14052.346573624787
2695,14053.89328638264
2696,12700.459243244415
2697,12285.384657979188
2698,11760.47126778196
2699,11852.658637397642
2700,10894.562200613327
2701,10649.837082378785
2702,10536.129775457635
2703,10783.09382027763
2704,11481.546623687815
2705,11366.915217335476
2706,12215.655079184973
2707,14169.163557257756
2708,15253.081207262465
2709,25829.941216102543
2710,30497.721819234303
2711,23145.71447489115
2712,23555.647357169153
2713,14984.130951197973
2714,9959.544388008388
2715,10023.30848614843
2716,9941.630284521185
2717,9197.64282274584
2718,8998.998328405625
2719,8918.440250238726
2720,9497.438618136557
2721,9584.391744742432
2722,8703.177155680167
2723,8717.068583079907
2724,8887.698902684158
2725,8901.04801522289
2726,8528.28136883986
2727,10016.209178633699
2728,10209.44237296816
2729,8661.79121295472
2730,7896.965876086993
2731,9212.62621526692
2732,9306.036445085663
2733,8959.949964132682
2734,10602.882164061208
2735,9410.828173617238
2736,10766.57147162198
2737,10250.984202036016
2738,10392.63876804148
2739,11469.725916742002
2740,10915.583287970498
2741,10151.505571160234
2513,
2493,
2506,
2494,
2483,
2489,
2481,
2516,
2524,
2479,
2490,
2503,
2497,
2500,
2519,
2488,
2491,
2495,
2501,
2510,
2507,
2517,
2505,
2487,
2523,
2485,
2480,
2502,
2525,
2482,
2520,
2486,
2512,
2498,
2484,
2514,
2508,
2509,
2521,
2504,
2492,
2511,
2515,
2499,
2496,
2526,
2518,
2522,
