period_seq,b2b_timeseries
2527,118774.98715203756
2528,128865.74900075776
2529,151335.3869250251
2530,123563.79565616806
2531,114238.2281784363
2532,99805.62176286985
2533,103591.18891547748
2534,100562.91100055608
2535,84423.124217501
2536,99562.58840648756
2537,99386.56862433004
2538,102296.13437856588
2539,108717.59239763848
2540,122422.28089690107
2541,119774.90774534504
2542,115660.63852607648
2543,131612.36568199605
2544,128617.63634413396
2545,112307.31062286488
2546,114888.06798334466
2547,106276.05525920338
2548,121975.51412632236
2549,141492.57788626544
2550,145283.88330127747
2551,143929.6875283046
2552,282752.63917719445
2553,253518.49819304128
2554,192918.94514175865
2555,186597.3613857361
2556,196245.59287002173
2557,135457.82943062068
2558,153554.91997560355
2559,139381.22704294877
2560,125681.3336377676
2561,121832.02277549448
2562,143267.00883300323
2563,133171.2712023707
2564,118871.52877549815
2565,110187.2915871214
2566,133897.4714969796
2567,126195.33832741599
2568,114246.25918059636
2569,104330.38820577902
2570,112099.6495284588
2571,105013.61138201348
2572,103954.3980041066
2573,87675.34957052745
2574,81148.19332505563
2575,103126.72699838532
2576,96082.36022188424
2577,91857.28576168677
2578,85755.67717377194
2579,95142.26701165985
2580,92125.66930117473
2581,78820.09966764414
2582,96125.48369107473
2583,89691.7555738976
2584,95848.27849503353
2585,90919.19583416951
2586,114216.90917269398
2587,84678.15008155761
2588,103676.58161400276
2589,95887.09106668262
2590,96126.2083758356
2591,91315.13653286915
2592,100652.0916473211
2593,111416.77283315908
2594,102762.46281603246
2595,99891.28287473667
2596,117257.55968705595
2597,121344.00123039757
2598,105414.30815033018
2599,101527.643287723
2600,102293.2844625364
2601,117719.4111729167
2602,121453.89894489004
2603,118461.12293879516
2604,128467.2634244096
2605,346173.0742304081
2606,237020.55037205428
2607,176293.47830544703
2608,181735.91082727333
2609,138535.43953019488
2610,160220.21231583372
2611,135481.76958102296
2612,117850.19854958648
2613,116589.49683887108
2614,134053.1542359838
2615,114683.18421314356
2616,101627.09967521972
2617,105511.26777678372
2618,114697.58620944034
2619,120396.29358093692
2620,114144.35674435784
2621,89843.36043184627
2622,90168.66961622624
2623,118933.41985729072
2624,91960.82955660377
2625,85831.80730688399
2626,94061.16620263261
2627,124578.44501493777
2628,130697.56005967961
2629,136228.48182277897
2630,117734.12099286784
2631,136738.10848153653
2632,112850.51228853768
2633,111191.4400141586
2634,107732.26344055736
2635,98723.19494458089
2636,127118.86383746788
2637,110063.99434225653
2638,98991.33640948441
2639,101447.61052338858
2640,108786.35823261614
2641,101904.67088439816
2642,91580.83617722275
2643,100368.889528211
2644,111077.06060946158
2645,118480.6858999604
2646,104227.84515832119
2647,100011.22782538291
2648,112723.5865583114
2649,110616.59885514552
2650,132759.58969401682
2651,162548.63915162423
2652,159152.91415702415
2653,146687.335141573
2654,148752.2209320763
2655,163722.75650502925
2656,168970.63941392864
2657,398753.08735795214
2658,267250.06236170646
2659,232707.5106943427
2660,196262.56146748655
2661,77501.87527837024
2662,102536.01633015773
2663,109032.70076571
2664,106779.59686182596
2665,100770.45879052936
2666,117400.12444965824
2667,120949.3312472754
2668,108843.57100949492
2669,96551.51458051565
2670,91044.61447452963
2671,87059.7071717797
2672,109445.623455937
2673,111629.58092768148
2674,108650.7801461434
2675,83467.82255761819
2676,85217.310381892
2677,84032.29427104135
2678,77918.28720257494
2679,78104.81123924593
2680,92502.57991902663
2681,76640.49467995248
2682,85507.27974127753
2683,92919.88411137031
2684,96554.38496807299
2685,103997.02098754376
2686,94555.26043288042
2687,121948.33679796245
2688,106166.81413603952
2689,86712.82802904927
2690,83255.56067593422
2691,80222.37510918551
2692,93088.08800668237
2693,95355.00519031571
2694,80492.2441660028
2695,88029.66203402223
2696,99434.47160585831
2697,98682.93439767709
2698,86213.7960677118
2699,94780.75559287757
2700,85470.08598145192
2701,98455.16542395968
2702,93883.61464677172
2703,90601.5386173337
2704,106657.95568244217
2705,102776.38674534964
2706,104541.93133054992
2707,118771.7646775955
2708,142350.2030793456
2709,295180.5898496484
2710,196379.98187771448
2711,130500.82552579924
2712,142024.77726513345
2713,106428.53180641436
2714,117783.03242529304
2715,131484.87651193322
2716,103850.38928065564
2717,97021.08840729312
2718,102962.24338630936
2719,97609.68403287168
2720,88483.47246849198
2721,89861.01826099647
2722,96044.43945103264
2723,95789.8803230173
2724,79193.236942662
2725,77998.14841635565
2726,68374.41758499246
2727,83425.90707348588
2728,91530.37376726749
2729,74242.95704364848
2730,65541.31953332767
2731,77477.58304345176
2732,70786.2979077718
2733,64087.20379067877
2734,63888.17675211648
2735,66892.81509953972
2736,74117.42381651721
2737,65150.46311441544
2738,61842.25633112282
2739,63826.452087336445
2740,66257.0368924342
2741,63987.77394238074
2479,
2480,
2481,
2482,
2483,
2484,
2485,
2486,
2487,
2488,
2489,
2490,
2491,
2492,
2493,
2494,
2495,
2496,
2497,
2498,
2499,
2500,
2501,
2502,
2503,
2504,
2505,
2506,
2507,
2508,
2509,
2510,
2511,
2512,
2513,
2514,
2515,
2516,
2517,
2518,
2519,
2520,
2521,
2522,
2523,
2524,
2525,
2526,
