period_seq,b2b_timeseries
2527,5421.0
2528,5700.0
2529,5918.0
2530,6417.0
2531,6460.0
2532,5876.0
2533,5280.0
2534,5134.0
2535,5376.0
2536,6704.0
2537,6192.0
2538,5477.0
2539,5611.0
2540,5230.0
2541,5632.0
2542,5141.0
2543,4621.0
2544,5547.0
2545,5436.0
2546,4700.0
2547,4765.0
2548,4692.0
2549,5753.907894736842
2550,5130.815789473684
2551,6026.0
2552,12621.0
2553,7705.0
2554,10060.0
2555,13653.0
2556,12418.0
2557,5218.0
2558,7357.0
2559,7198.0
2560,5387.0
2561,4578.0
2562,5638.0
2563,5972.0
2564,5230.0
2565,4907.0
2566,4649.0
2567,5519.0
2568,5139.0
2569,4972.0
2570,6299.0
2571,5341.0
2572,6189.0
2573,3989.0
2574,5080.0
2575,5922.0
2576,6175.0
2577,4693.0
2578,4578.0
2579,5958.0
2580,4798.0
2581,4685.0
2582,4785.0
2583,6301.0
2584,6766.0
2585,5331.0
2586,5064.0
2587,4308.0
2588,6169.0
2589,6784.0
2590,5362.0
2591,5295.0
2592,5194.0
2593,6314.0
2594,5045.0
2595,4727.0
2596,5289.0
2597,6036.0
2598,5290.0
2599,5300.0
2600,4787.0
2601,5667.0
2602,5605.0
2603,5257.0
2604,4732.0
2605,16213.0
2606,9675.0
2607,11693.0
2608,13857.0
2609,4966.725
2610,6908.0
2611,6725.0
2612,6255.0
2613,6105.0
2614,6437.0
2615,5355.0
2616,4823.0
2617,4617.0
2618,5357.0
2619,5546.0
2620,4962.0
2621,4735.0
2622,5010.0
2623,6414.0
2624,4424.0
2625,5018.0
2626,4774.0
2627,5292.0
2628,5817.0
2629,6509.0
2630,4885.0
2631,5633.0
2632,5949.0
2633,7704.0
2634,5074.0
2635,5098.0
2636,7816.0
2637,5629.0
2638,4984.0
2639,4885.0
2640,5571.0
2641,5392.0
2642,4644.0
2643,5134.0
2644,4856.0
2645,6458.0
2646,4935.0
2647,4073.0
2648,4860.0
2649,7328.0
2650,7274.0
2651,6280.0
2652,6164.0
2653,7530.0
2654,6104.0
2655,6219.0
2656,7470.0
2657,14542.0
2658,10037.0
2659,10236.0
2660,11523.0
2661,5057.0
2662,4364.0
2663,6138.0
2664,5794.0
2665,7245.0
2666,6984.0
2667,5394.0
2668,4291.0
2669,4548.0
2670,4641.0
2671,5984.0
2672,6711.0
2673,6696.0
2674,9319.0
2675,6553.0
2676,8337.0
2677,7825.0
2678,6079.0
2679,5995.0
2680,6060.0
2681,5121.0
2682,5151.0
2683,6519.0
2684,5486.0
2685,5320.0
2686,5921.0
2687,5705.0
2688,5673.0
2689,5754.0
2690,5290.0
2691,4796.0
2692,6190.0
2693,6393.0
2694,5487.0
2695,5370.0
2696,5098.0
2697,5029.0
2698,5241.0
2699,4981.0
2700,5274.0
2701,7439.0
2702,5995.0
2703,5793.0
2704,5548.0
2705,5292.0
2706,5735.0
2707,5394.0
2708,5381.0
2709,10002.5
2710,6777.0
2711,9373.0
2712,11633.0
2713,6273.0
2714,5602.0
2715,7203.0
2716,6551.0
2717,5539.0
2718,5536.0
2719,5399.0
2720,5453.0
2721,5126.0
2722,5175.0
2723,5013.0
2724,5497.0
2725,5268.0
2726,5547.0
2727,6876.0
2728,8062.0
2729,6559.0
2730,5775.0
2731,7080.0
2732,5810.0
2733,4824.0
2734,5167.6
2735,4713.92
2736,4982.06
2737,4541.75
2738,5357.1025
2739,5429.8882
2740,6171.52584
2741,6142.0
2493,
2494,
2495,
2496,
2497,
2498,
2499,
2500,
2515,
2516,
2517,
2518,
2519,
2520,
2521,
2522,
2501,
2502,
2503,
2504,
2505,
2523,
2524,
2525,
2526,
2484,
2485,
2479,
2480,
2481,
2482,
2483,
2486,
2487,
2488,
2489,
2490,
2491,
2492,
2506,
2507,
2508,
2509,
2510,
2511,
2512,
2513,
2514,
