period_seq,b2b_timeseries
2527,36775.78043338214
2528,36939.89236304187
2529,35232.48632223116
2530,36624.636563824504
2531,34868.01270013858
2532,40358.14361193948
2533,33616.65003283822
2534,43801.794061853725
2535,35765.43027954882
2536,41131.89694922488
2537,40184.41062760295
2538,43902.26356645752
2539,47226.948076399334
2540,55155.92669771898
2541,61927.54889003082
2542,61961.80741662686
2543,62222.21630061624
2544,59656.10394238188
2545,55594.54415085336
2546,46720.42421346433
2547,44303.37362454829
2548,41784.115513020304
2549,43676.774901058096
2550,42146.32768692293
2551,48749.59582354869
2552,100809.3504576433
2553,76072.70190965557
2554,52294.069687097486
2555,50652.99725358694
2556,55195.61275351636
2557,38405.55772552998
2558,47987.22622191597
2559,50150.658666800366
2560,47438.44151017849
2561,42856.03361891532
2562,41087.03981682042
2563,41937.337243376925
2564,37880.710385602906
2565,37443.4804075393
2566,39095.561513176894
2567,42771.06694166466
2568,40161.80969912812
2569,38171.95227660977
2570,36316.816179109366
2571,38246.658769875154
2572,37582.25939073392
2573,33625.24561933301
2574,34800.405240769294
2575,38978.92378454505
2576,36863.56383453082
2577,32688.942959276403
2578,32207.839508057627
2579,34572.16466754592
2580,35152.580548468344
2581,34180.63822466528
2582,30746.743636253996
2583,29422.30233461133
2584,29528.01021316892
2585,31948.36894443566
2586,38670.05244580934
2587,29054.72390158804
2588,34050.47487512352
2589,34420.37478299675
2590,34970.242927396626
2591,35695.63911812743
2592,38790.63113548586
2593,47228.195083056096
2594,49229.45941474864
2595,47552.96482006433
2596,50800.86117702902
2597,49864.990311944624
2598,44442.45805729211
2599,39853.96429192945
2600,38399.83165269325
2601,38561.61496482695
2602,39502.31054386406
2603,39653.82573892241
2604,47411.632272640614
2605,70596.10516254214
2606,52392.93292584589
2607,43475.548887212964
2608,46832.798589345606
2609,35762.036217463305
2610,43281.33633208627
2611,45902.35805095575
2612,43806.663343918415
2613,40532.44340209793
2614,39651.28787938221
2615,36787.61894451157
2616,35142.62083370568
2617,36103.474566960285
2618,36275.79147968757
2619,35975.005252305105
2620,38113.57711964335
2621,101723.26492798889
2622,78730.96583376307
2623,54229.50198015652
2624,35504.25359800093
2625,33692.61220191057
2626,48128.15725273313
2627,51991.758772369656
2628,40747.28479748179
2629,34418.835938152835
2630,28098.4282450418
2631,25806.336294989153
2632,29362.60429687727
2633,28152.123827011823
2634,26055.4837373424
2635,26135.34223053253
2636,35272.60851777895
2637,33338.43847528364
2638,28052.811032783935
2639,32224.65001904201
2640,28899.24785807265
2641,36487.84347533288
2642,30330.62494014624
2643,36327.590330327206
2644,35976.99301184142
2645,36921.6751601053
2646,41990.050662165646
2647,40147.379256410066
2648,41592.61095064085
2649,53737.27137330912
2650,53923.21858874522
2651,40833.731522266666
2652,44697.08161952041
2653,39938.045263118416
2654,43184.137659639
2655,43542.38443785023
2656,51399.55606027948
2657,63957.05636819233
2658,57277.649213514575
2659,45283.86641161201
2660,47262.243212803885
2661,30042.58607617084
2662,39967.904816785776
2663,80621.75854504359
2664,48917.96862231248
2665,45554.24354189681
2666,34752.85899063656
2667,32554.20256584224
2668,31475.410993715068
2669,30356.31548457649
2670,41295.47533031672
2671,39506.59073266296
2672,39436.48540642398
2673,34969.10033092743
2674,36401.59357515156
2675,36335.28405968839
2676,33385.23178225968
2677,37248.54916849846
2678,35801.55239905966
2679,36357.04111322309
2680,36828.85904439426
2681,34654.826095156706
2682,34020.94045610764
2683,30493.358468042552
2684,26951.959444119544
2685,29342.742044908267
2686,28286.497075376163
2687,30233.43170692197
2688,30419.66177482004
2689,31129.389701037395
2690,29369.332602251503
2691,26826.462266828665
2692,32883.01191529188
2693,31713.95446507522
2694,31146.745704122277
2695,29958.994440279494
2696,30453.716861526544
2697,34070.49032214264
2698,37151.8672727571
2699,34899.3894197535
2700,34144.49495305832
2701,36927.920917812145
2702,38511.72849772917
2703,34899.49164176855
2704,33526.71910391771
2705,34539.254910332216
2706,35322.95200552661
2707,37129.607801508006
2708,34573.190082303474
2709,42831.889272378525
2710,41635.30809173873
2711,38227.159939152174
2712,38456.917320468834
2713,30750.194145643884
2714,29548.803440884032
2715,41095.735723927006
2716,36594.736053064335
2717,33395.43272205554
2718,36715.12846565529
2719,39183.25764745956
2720,38438.10070681711
2721,30577.769918470687
2722,34116.98744913335
2723,40550.053333980206
2724,34241.29607701833
2725,28220.4312867562
2726,26945.174110576467
2727,30611.368628424927
2728,32597.48494873432
2729,23701.906338261873
2730,23173.322452010823
2731,31255.995488711516
2732,27517.294761522815
2733,29311.846262944768
2734,26942.406765436623
2735,26395.206643293164
2736,24722.45786573776
2737,27788.159323073887
2738,22879.37366234951
2739,23782.52078141747
2740,27644.594024954255
2741,25415.786260545505
2506,
2507,
2508,
2509,
2510,
2511,
2512,
2513,
2514,
2515,
2516,
2517,
2518,
2519,
2520,
2521,
2522,
2523,
2524,
2525,
2526,
