period_seq,b2b_timeseries
2527,15624.137214528651
2528,16550.295389543036
2529,16732.70773360189
2530,16496.835667776508
2531,16547.45889290793
2532,16130.550611718343
2533,15422.353444022465
2534,25185.504361316183
2535,16696.96698266013
2536,17420.164150356013
2537,18346.52058158911
2538,18968.764810172288
2539,20188.793462047553
2540,21085.285201324896
2541,24111.88684917253
2542,22979.234456293983
2543,23940.678242675844
2544,23504.645324486068
2545,22779.386800808752
2546,21144.178495188087
2547,21015.13849802881
2548,19829.314002346768
2549,21103.68485455481
2550,21524.415778161343
2551,25778.36147285797
2552,42759.03500759336
2553,37899.73241270584
2554,25500.487509767358
2555,27927.07978633764
2556,28723.17718240436
2557,18766.492560706363
2558,18977.006121794417
2559,24428.51044277103
2560,20874.953997978024
2561,20926.361910833784
2562,22410.58678080058
2563,21499.66138716972
2564,21426.05950700873
2565,20940.94576937146
2566,21793.48269566066
2567,22591.220309353583
2568,20731.871501560134
2569,21052.240952985816
2570,20581.188374989357
2571,20860.449184082452
2572,20447.530986010654
2573,17868.463166103527
2574,17233.6973862676
2575,20339.77181428733
2576,18740.951294483086
2577,18972.305713655336
2578,18314.77747066409
2579,18311.6
2580,19120.070548477463
2581,20442.00631251972
2582,19960.565492879785
2583,19663.303148434585
2584,19233.038024816633
2585,19242.56037880519
2586,32737.140588235292
2587,18516.204477124185
2588,20392.47141172658
2589,19599.86798846843
2590,20426.20388605577
2591,20918.85258398746
2592,20884.746561785887
2593,23106.46232141276
2594,21955.1311198711
2595,22535.693546803985
2596,23572.24357660935
2597,23672.550990285403
2598,21490.73544144537
2599,21851.98410950531
2600,21147.492900329285
2601,20705.823736186965
2602,21800.628999699024
2603,23580.722624403123
2604,31584.990146442
2605,57265.12064877138
2606,42399.39097525493
2607,27630.24026903408
2608,32287.24710013899
2609,24750.515343397732
2610,23487.73465433296
2611,26812.198735416896
2612,23807.5839399186
2613,21570.93773060248
2614,23178.126903430923
2615,23439.191784813447
2616,23522.265465593464
2617,23145.6539718571
2618,24260.19658667653
2619,27170.653951489578
2620,48617.41725674682
2621,92249.32531920001
2622,49404.00132887519
2623,37719.75462058436
2624,31714.943446398804
2625,28582.724474815688
2626,31863.624170386105
2627,35183.78089163033
2628,32069.295962060172
2629,35807.45583790362
2630,36511.108219807335
2631,32803.923191909555
2632,35830.92060431953
2633,39798.33013922201
2634,38735.274236771314
2635,36629.40799260188
2636,42952.95989039668
2637,37675.58941055665
2638,34963.944345546326
2639,34463.31477444479
2640,35946.33561506706
2641,31843.217242103023
2642,32437.677971747096
2643,33538.362716330215
2644,36992.32572654399
2645,37449.17292657451
2646,39888.46646594448
2647,38622.08737092816
2648,43223.982193099655
2649,49099.73382930898
2650,43679.912433258265
2651,62012.10430688682
2652,47019.32677873151
2653,47268.28502625073
2654,52417.14075680449
2655,56415.61983642906
2656,64796.12211708144
2657,98781.94829801082
2658,73314.86378096935
2659,52858.14818175118
2660,52738.16104144966
2661,38959.43108251577
2662,43547.90590334824
2663,56949.39249426794
2664,48098.11434710866
2665,44874.55040048852
2666,47053.734131779136
2667,47461.23699557517
2668,48413.90666002075
2669,43814.940753439645
2670,42584.45006054295
2671,42458.4627638234
2672,40268.02792601395
2673,38960.52184104823
2674,40947.45394157704
2675,38467.44336422635
2676,34806.87243085277
2677,34855.25620661367
2678,34511.073037634895
2679,37514.98191016592
2680,36365.90491566043
2681,38540.48191566042
2682,34564.28977280329
2683,36142.11153470805
2684,29314.231439469953
2685,32931.32460613662
2686,33565.60041566044
2687,53385.19666840768
2688,34942.453822253825
2689,32310.181370279886
2690,32098.940218022868
2691,30932.059856678326
2692,34485.17811858309
2693,33338.86858927907
2694,33253.57776144024
2695,31501.418208326682
2696,36183.871531202334
2697,38029.570926560285
2698,37248.11264613701
2699,38676.39293571779
2700,36549.65473608408
2701,38844.80540275076
2702,37941.1456182266
2703,33902.13053930565
2704,30619.517406593404
2705,33616.39836670736
2706,35296.30810924337
2707,46608.48488644688
2708,49971.88221428571
2709,73901.6440856385
2710,53429.17410262726
2711,39927.794142857136
2712,42954.72261670032
2713,32814.8427269371
2714,34215.90679310345
2715,38054.722729885056
2716,34775.9375261233
2717,32720.622833333327
2718,32007.191311035527
2719,32023.109504477005
2720,29960.954166666663
2721,30664.925078486554
2722,30456.5623259417
2723,32155.13223076923
2724,28404.96707482993
2725,26199.914
2726,26700.22181132816
2727,30427.515607751608
2728,30695.40778641794
2729,26941.254064516128
2730,23107.085397154897
2731,28636.55474683544
2732,25267.737623931625
2733,25927.14770967742
2734,24912.085299421007
2735,27116.976609273424
2736,22464.623344086023
2737,27467.445632754345
2738,25729.63820737327
2739,25152.82550146628
2740,26771.76676923077
2741,25285.428131662346
2519,
2507,
2521,
2523,
2516,
2522,
2514,
2524,
2510,
2513,
2511,
2525,
2515,
2506,
2517,
2520,
2512,
2526,
2508,
2509,
2518,
