period_seq,b2b_timeseries
2527,13529.0
2528,13215.0
2529,14141.0
2530,11039.0
2531,10404.0
2532,10879.0
2533,11466.0
2534,18504.0
2535,12016.0
2536,12149.0
2537,11559.0
2538,12294.0
2539,11782.0
2540,14026.0
2541,12916.0
2542,11356.0
2543,11207.0
2544,12053.0
2545,14069.0
2546,12598.0
2547,13092.0
2548,13603.0
2549,14210.0
2550,14600.0
2551,16015.0
2552,36653.0
2553,31419.0
2554,27290.0
2555,32861.0
2556,45244.0
2557,26760.0
2558,16046.0
2559,15553.3416
2560,14775.0
2561,14167.0
2562,14386.0
2563,15206.0
2564,14689.99997
2565,14037.0
2566,14455.0
2567,14249.0
2568,13296.0
2569,14038.0
2570,14365.0
2571,16858.0
2572,18600.0
2573,13463.0
2574,12111.0
2575,13897.75
2576,14114.0
2577,12686.0
2578,14835.0
2579,15167.410539
2580,14887.0
2581,21007.0
2582,16069.0
2583,19012.0
2584,16971.0
2585,16516.0
2586,40813.0
2587,16818.0
2588,17782.0
2589,17366.0
2590,15840.0
2591,16904.0
2592,18651.0
2593,16845.0
2594,14587.0
2595,15031.0
2596,15457.0
2597,17080.0
2598,16466.0
2599,16375.0
2600,17359.0
2601,17261.0
2602,15703.2
2603,16834.0
2604,24301.0
2605,48179.0
2606,41116.0
2607,33245.0
2608,40734.0
2609,31402.0
2610,21121.0
2611,17166.0
2612,15434.0
2613,15080.0
2614,17134.0
2615,18147.0
2616,16234.0
2617,23291.0
2618,17236.0
2619,18581.000128
2620,22084.0
2621,24551.0
2622,12521.0
2623,12915.0
2624,10100.0
2625,9899.0
2626,10389.0
2627,10094.0
2628,9352.0
2629,11062.0
2630,25844.0
2631,16736.0
2632,17337.0
2633,13960.0
2634,17357.0
2635,16132.0
2636,16192.0
2637,17586.0
2638,18912.0
2639,18431.0
2640,18617.0
2641,19252.0
2642,19189.0
2643,19814.0
2644,21866.0
2645,20427.0
2646,19036.0
2647,21168.0
2648,22351.0
2649,21465.0
2650,20527.0
2651,22520.0
2652,20347.0
2653,20883.0
2654,25929.0
2655,20940.0
2656,32640.0
2657,52359.0
2658,40387.0
2659,37036.0
2660,41570.0
2661,26102.0
2662,22699.81824
2663,20610.81824
2664,20100.81824
2665,25127.81824
2666,27307.81824
2667,23787.0192
2668,27386.0192
2669,21192.0192
2670,23309.0192
2671,25945.5216
2672,25679.5216
2673,25681.5216
2674,27386.5216
2675,25192.5216
2676,22697.0
2677,22022.0
2678,21240.0
2679,24320.0
2680,24896.0
2681,23984.0
2682,23217.0
2683,24265.0
2684,21451.0
2685,23230.0
2686,22622.0
2687,36469.0
2688,23412.0
2689,23138.0
2690,23242.0
2691,20574.0
2692,23767.0
2693,23849.0
2694,23558.0
2695,24464.0
2696,25632.0
2697,27865.0
2698,24340.0
2699,24253.0
2700,24053.0
2701,24370.0
2702,25822.0
2703,23917.0
2704,23280.0
2705,23040.0
2706,25124.0
2707,24333.0
2708,32677.0
2709,54090.0
2710,41727.0
2711,37280.0
2712,45897.0
2713,39788.0
2714,28894.0
2715,27623.0
2716,25896.0
2717,26693.0
2718,27725.0
2719,26230.0
2720,26678.0
2721,25238.0
2722,34476.0
2723,26542.87
2724,24826.0
2725,22702.0
2726,22685.0
2727,24156.0
2728,25402.0
2729,24849.0
2730,20072.0
2731,21384.0
2732,22228.0
2733,20892.0
2734,20532.0
2735,21891.0
2736,23142.0
2737,23910.0
2738,19926.0
2739,18970.0
2740,21526.0
2741,20893.0
