period_seq,b2b_timeseries
2558,3376.1587304761906
2559,2762.3116885714285
2560,2455.388167619048
2561,3990.005772380952
2562,2762.3116885714285
2563,2674.697924603174
2564,2353.7341736507938
2565,3209.637509523809
2566,2460.7220906349207
2567,2772.567128809524
2568,2772.567128809524
2569,2652.0207319047618
2570,3857.484700952381
2571,2787.792634853458
2572,2211.0079517803288
2573,1922.615610243764
2574,2691.6618543412696
2575,2575.3345146201814
2576,2446.5677888891723
2577,2189.034337427154
2578,2832.8679660821995
2579,2832.8679660821995
2580,2180.5052116941606
2581,2559.723509380102
2582,2559.723509380102
2583,2180.5052116941606
2584,2037.62552579932
2585,2139.5068020892854
2586,2037.62552579932
2587,1833.862973219388
2588,2139.5068020892854
2589,2726.897755208334
2590,2945.0495756250007
2591,2617.8218450000004
2592,2617.8218450000004
2593,1799.5679749067465
2594,2434.709613109128
2595,3387.4220704126997
2596,2963.994311611112
2597,2723.166082478175
2598,2436.5170211646832
2599,2579.8415518214288
2600,3869.762327732144
2601,2723.166082478175
2602,2502.0597080000007
2603,2641.063025111112
2604,3197.0762935555563
2605,5560.132684444446
2606,3413.205310095239
2607,2559.903982571429
2608,4124.289749698413
2609,4124.289749698413
2610,4200.237780335668
2611,3400.192488843159
2612,3200.181165970032
2613,5600.317040447556
2614,3600.203811716286
2615,2691.991362289868
2616,2467.658748765712
2617,2804.1576690519455
2618,3252.822896100257
2619,2111.280087460318
2620,2111.280087460318
2621,3555.8401473015883
2622,3333.6001380952393
2623,2656.474403873016
2624,2106.859009968254
2625,2106.859009968254
2626,2290.064141269841
2627,2774.8126497008548
2628,2171.5925084615383
2629,2654.168621452992
2630,2171.5925084615383
2631,2292.2365367094017
2632,2609.760446208791
2633,2706.4182405128204
2634,2416.4448576007326
2635,1933.155886080586
2636,2180.90463470214
2637,2289.9498664372463
2638,1853.7689394968183
2639,2180.90463470214
2640,2398.995098172353
2641,1885.6719736070943
2642,2212.9823683285126
2643,2326.359967008868
2644,2934.665559090996
2645,2600.7211278195487
2646,2395.7524175824174
2647,2395.9715714285717
2648,2682.415036630036
2649,3111.1206882591086
2650,2772.6454589358023
2651,2783.8636842105275
2652,3051.1860000000033
2653,2857.4661992481224
2654,2626.6817747252753
2655,3010.41112781955
2656,2966.862556390979
2657,4950.724367746291
2658,3597.443000000001
2659,2864.968714285716
2660,3189.457969924813
2661,2579.542857142858
2662,2701.8208379571247
2663,2833.540163934426
2664,3120.1065
2665,3045.380163934426
2666,3657.5
2667,3246.8915215924426
2668,2535.2519444444442
2669,3797.859442287411
2670,3329.756842105263
2671,3040.61498855835
2672,3306.559088188697
2673,3001.074174022698
2674,3375.834751804259
2675,2715.8728500948573
2676,2837.021755852842
2677,2970.608387216647
2678,2978.230652173912
2679,2764.944541062801
2680,2731.5262253808983
2681,2454.314498327758
2682,3188.877909698996
2683,3169.8823792270523
2684,2530.867046343561
2685,2440.4225966183562
2686,2265.257747755676
2687,3343.413846153846
2688,2795.314498327758
2689,2488.9788219992547
2690,2415.772233370493
2691,2140.720815241837
2692,2293.33796514698
2693,2160.822756410256
2694,2203.81515050167
2695,2312.177059496567
2696,2687.617711670479
2697,2534.360652173912
2698,2418.8016062801926
2699,2629.3894387236196
2700,2630.020652173912
2701,2958.3710024829297
2702,2800.256666666667
2703,2609.9423913718183
2704,2784.710446927374
2705,2870.317337057728
2706,2674.665383650666
2707,2671.09083057804
2708,3247.890971763007
2709,5758.5
2710,3344.0825
2711,2611.716666666667
2712,2908.635833333334
2713,2776.09
2714,3255.583333333334
2715,2930.3125
2716,2775.71
2717,2918.875
2718,3958.6125
2719,2981.19
2720,2528.08
2721,2281.46
2722,2656.42
2723,2191.2
2724,2126.11
2725,2203.845
2726,2201.025
2727,2497.44
2728,2405.92
2729,1819.08
2730,1958.065
2731,1892.71
2732,1741.885
2733,1742.78
2734,2029.08
2735,2554.53
2736,2211.935
2737,2092.02
2738,2077.040333333338
2739,2000.675
2740,2009.01
2741,2220.695
