period_seq,b2b_timeseries
2527,5926.0
2528,4536.0
2529,5040.0
2530,5981.0
2531,6250.0
2532,5095.0
2533,6028.0
2534,5445.0
2535,7591.0
2536,8567.0
2537,10630.0
2538,14022.0
2539,12526.0
2540,10636.0
2541,8124.0
2542,7656.0
2543,7319.5
2544,7002.6
2545,4982.2
2546,5056.6
2547,6012.633333333333
2548,5773.966666666666
2549,5884.0
2550,5727.0
2551,5409.0
2552,17366.0
2553,7275.0
2554,6394.0
2555,7646.0
2556,8591.0
2557,4862.0
2558,7239.0
2559,7365.0
2560,6923.0
2561,5723.0
2562,6745.0
2563,5440.0
2564,6199.0
2565,5160.0
2566,6126.0
2567,5813.0
2568,5273.0
2569,5698.0
2570,5352.0
2571,4762.0
2572,4536.0
2573,2517.0
2574,4458.0
2575,4825.0
2576,4889.0
2577,4373.0
2578,4817.0
2579,5005.0
2580,5690.0
2581,6313.0
2582,5878.0
2583,7044.0
2584,5210.0
2585,5046.0
2586,6777.0
2587,5448.0
2588,10526.0
2589,15009.0
2590,19336.0
2591,13520.0
2592,9656.0
2593,7940.0
2594,6656.0
2595,6534.0
2596,6234.0
2597,5825.0
2598,5376.0
2599,7802.0
2600,6189.0
2601,5921.0
2602,5049.0
2603,5824.0
2604,5249.0
2605,17103.0
2606,8967.0
2607,7123.0
2608,8764.0
2609,3888.0
2610,6881.0
2611,7281.0
2612,6943.0
2613,6289.0
2614,8484.0
2615,5370.0
2616,5507.0
2617,6015.0
2618,7148.0
2619,5827.0
2620,8434.0
2621,9656.0
2622,7783.0
2623,6263.0
2624,4028.0
2625,6307.0
2626,7601.0
2627,5844.0
2628,5884.0
2629,5922.0
2630,4946.0
2631,5525.0
2632,5461.0
2633,5248.0
2634,6498.0
2635,8501.0
2636,6462.0
2637,5732.0
2638,5637.0
2639,6218.0
2640,12795.0
2641,15272.0
2642,14155.0
2643,16777.0
2644,9795.0
2645,8009.0
2646,8524.0
2647,7581.0
2648,8112.0
2649,6687.0
2650,5922.0
2651,6192.0
2652,6607.0
2653,6578.0
2654,6078.0
2655,6909.0
2656,9689.0
2657,18908.0
2658,9643.0
2659,8312.0
2660,9058.0
2661,4879.0
2662,7183.0
2663,9763.0
2664,8197.0
2665,6907.0
2666,7294.0
2667,6370.0
2668,6829.0
2669,6147.0
2670,6816.0
2671,5320.0
2672,7189.0
2673,7840.0
2674,6574.0
2675,3300.0
2676,5631.0
2677,6631.0
2678,6708.0
2679,6205.0
2680,6911.0
2681,5793.0
2682,5181.0
2683,7160.0
2684,6930.0
2685,5901.0
2686,9174.0
2687,7285.0
2688,6013.0
2689,9955.0
2690,5665.0
2691,5773.0
2692,10174.0
2693,15127.0
2694,18497.0
2695,15293.0
2696,16055.0
2697,10722.0
2698,7278.0
2699,7450.0
2700,7220.0
2701,6928.0
2702,6096.0
2703,5893.0
2704,9124.0
2705,8314.0
2706,7170.0
2707,6560.0
2708,8078.0
2709,17134.0
2710,9246.0
2711,6979.0
2712,6637.0
2713,5378.0
2714,6986.0
2715,9295.0
2716,8442.0
2717,7453.0
2718,7215.0
2719,7487.0
2720,7137.0
2721,6566.0
2722,5956.0
2723,6220.0
2724,6511.0
2725,7962.0
2726,6426.0
2727,6420.0
2728,6642.0
2729,4250.0
2730,6100.0
2731,7152.0
2732,5609.0
2733,6350.0
2734,5852.0
2735,6588.0
2736,7761.0
2737,5001.0
2738,8832.0
2739,7272.0
2740,6428.0
2741,6072.0
2515,
2516,
2517,
2518,
2519,
2520,
2521,
2522,
2523,
2524,
2525,
2526,
2506,
2507,
2508,
2509,
2510,
2511,
2512,
2513,
2514,
