period_seq,b2b_timeseries
2527,7288.425874125874
2528,8034.432167832167
2529,9625.317482517481
2530,7376.446153846154
2531,10815.065034965033
2532,9269.531168831169
2533,8557.880519480519
2534,8141.851948051949
2535,8485.472727272727
2536,8104.498701298701
2537,8277.735064935066
2538,8342.137662337662
2539,10147.4987012987
2540,11043.85238095238
2541,7812.685714285713
2542,8513.709523809523
2543,7380.838095238094
2544,9284.942857142856
2545,8622.742857142857
2546,8113.9333333333325
2547,8320.87619047619
2548,8210.552380952382
2549,9196.361904761903
2550,8989.119047619046
2551,6971.35238095238
2552,35615.642857142855
2553,13553.314285714285
2554,13392.571428571428
2555,15373.195238095239
2556,21627.723809523806
2557,19388.442857142854
2558,9758.104761904762
2559,8732.504761904764
2560,8193.142857142857
2561,9231.042857142857
2562,7838.404761904763
2563,9187.247619047619
2564,8121.4
2565,8214.619047619046
2566,8095.519047619046
2567,7906.404761904763
2568,8306.42857142857
2569,6923.861904761905
2570,8150.257142857143
2571,7624.285714285714
2572,8469.857142857143
2573,6526.314285714286
2574,7146.314285714286
2575,8335.485714285714
2576,6878.057142857143
2577,7118.152380952381
2578,7190.114285714286
2579,7454.542857142857
2580,6961.371428571429
2581,7474.997568389058
2582,6372.6756838905485
2583,11046.635055724371
2584,10040.338095238048
2585,8082.303647416381
2586,7649.946808510608
2587,6822.677912867245
2588,7412.262107396114
2589,7958.11702127656
2590,7767.482978723376
2591,7955.833535967542
2592,8123.266794251154
2593,8180.638601823664
2594,7067.482370820628
2595,7040.714285714275
2596,7867.714285714275
2597,7596.199999999991
2598,7095.199999999991
2599,7021.17142857142
2600,7413.285714285708
2601,6991.054285714282
2602,7186.0
2603,7103.0
2604,6554.0
2605,30151.0
2606,12117.0
2607,13134.0
2608,17888.0
2609,18381.0
2610,8404.0
2611,6719.0
2612,6738.0
2613,8561.0
2614,8192.0
2615,7489.0
2616,7093.0
2617,7105.0
2618,8954.0
2619,6720.0
2620,6644.0
2621,6719.0
2622,8423.0
2623,8461.0
2624,8126.0
2625,8305.0
2626,8740.0
2627,7166.0
2628,7805.0
2629,8047.0
2630,6502.0
2631,7331.0
2632,7343.0
2633,7441.0
2634,6321.0
2635,9229.0
2636,10052.0
2637,8650.0
2638,7544.0
2639,7907.0
2640,8350.0
2641,6197.0
2642,6658.0
2643,7636.0
2644,8493.0
2645,7395.0
2646,7755.0
2647,6414.0
2648,8255.0
2649,8388.0
2650,8226.0
2651,6831.0
2652,7607.0
2653,7488.0
2654,7211.0
2655,7124.0
2656,8529.0
2657,29928.0
2658,14528.0
2659,15655.0
2660,15868.0
2661,13640.0
2662,9678.0
2663,8465.0
2664,8356.0
2665,8232.0
2666,8365.0
2667,7798.0
2668,7282.0
2669,7356.0
2670,7650.0
2671,7180.0
2672,7630.0
2673,7170.0
2674,9542.0
2675,7219.0
2676,7725.0
2677,6461.0
2678,6969.0
2679,7449.0
2680,7228.0
2681,5698.0
2682,7179.0
2683,7505.0
2684,6685.0
2685,7959.0
2686,7785.0
2687,7089.0
2688,8551.0
2689,9384.0
2690,6869.0
2691,6799.0
2692,7147.0
2693,6953.0
2694,7969.0
2695,8214.0
2696,8713.0
2697,7343.0
2698,6378.0
2699,6318.0
2700,7915.0
2701,8850.0
2702,7592.0
2703,6491.0
2704,6675.0
2705,7678.0
2706,7240.0
2707,6459.0
2708,9436.0
2709,20224.0
2710,12412.0
2711,12213.0
2712,14522.0
2713,14221.0
2714,10960.0
2715,8894.0
2716,8863.0
2717,7557.0
2718,7312.0
2719,6875.0
2720,7368.0
2721,7271.0
2722,8366.0
2723,6647.0
2724,6114.0
2725,7066.0
2726,6909.0
2727,7271.0
2728,9391.0
2729,7480.0
2730,7178.0
2731,8090.0
2732,6951.0
2733,6975.0
2734,7245.0
2735,7876.0
2736,6855.0
2737,7669.0
2738,7785.0
2739,6896.0
2740,9195.0
2741,9093.0
2493,
2494,
2495,
2496,
2497,
2498,
2499,
2500,
2515,
2516,
2517,
2518,
2519,
2520,
2521,
2522,
2501,
2502,
2503,
2504,
2505,
2523,
2524,
2525,
2526,
2484,
2485,
2479,
2480,
2481,
2482,
2483,
2486,
2487,
2488,
2489,
2490,
2491,
2492,
2506,
2507,
2508,
2509,
2510,
2511,
2512,
2513,
2514,
