period_seq,b2b_timeseries
2527,8416.274825174825
2528,10309.628671328672
2529,13755.205594405594
2530,10035.276223776224
2531,14383.050349650348
2532,11636.248051948052
2533,9725.972727272729
2534,8895.581818181818
2535,9300.855844155843
2536,10085.263636363636
2537,11111.28051948052
2538,9762.597402597401
2539,11242.68961038961
2540,11345.933333333332
2541,10010.14761904762
2542,9165.185714285713
2543,8910.438095238094
2544,12928.528571428573
2545,9783.228571428574
2546,8344.185714285713
2547,8634.32380952381
2548,10373.966666666665
2549,9990.028571428573
2550,11422.585714285715
2551,8388.857142857143
2552,56896.97619047619
2553,14815.657142857142
2554,9798.057142857142
2555,10476.442857142856
2556,12310.528571428573
2557,46222.323809523805
2558,16983.54761904762
2559,11188.580952380951
2560,8536.009523809524
2561,9002.647619047619
2562,8291.138095238095
2563,9545.3
2564,9361.138095238097
2565,8016.714285714284
2566,11360.84761904762
2567,9399.428571428572
2568,8920.647619047619
2569,9766.361904761903
2570,10375.380952380952
2571,8592.714285714284
2572,10366.761904761905
2573,8668.866666666665
2574,8921.695238095239
2575,9971.304761904761
2576,8226.257142857143
2577,7373.352380952382
2578,9389.523809523807
2579,9422.961904761903
2580,8017.752380952383
2581,9135.791590678824
2582,6831.580952380952
2583,16144.4
2584,13144.93444782168
2585,9875.458257345492
2586,9600.504761904762
2587,8143.752380952383
2588,9841.019047619047
2589,11427.30476190476
2590,9800.65825734549
2591,10466.980952380953
2592,10942.096352583518
2593,10691.392705167127
2594,10075.68206686928
2595,9246.462637362623
2596,13219.794505494492
2597,10311.17142857138
2598,9769.885714285672
2599,9208.885714285676
2600,12143.02857142852
2601,10201.288571428548
2602,9750.0
2603,8691.0
2604,10101.0
2605,63782.0
2606,17358.0
2607,11585.0
2608,12816.0
2609,42732.0
2610,19401.99991
2611,11870.0
2612,9446.0
2613,9255.0
2614,9516.0
2615,8609.0
2616,9581.0
2617,7883.0
2618,11175.0
2619,10400.0
2620,8982.0
2621,10051.0
2622,11102.0
2623,12179.0
2624,11481.0
2625,11067.0
2626,10105.0
2627,12449.0
2628,10622.0
2629,10379.0
2630,12073.0
2631,10186.0
2632,10359.0
2633,10716.0
2634,9215.0
2635,14285.0
2636,16195.0
2637,14758.0
2638,12232.0
2639,12737.0
2640,13244.0
2641,11654.0
2642,13107.0
2643,19392.0
2644,22930.0
2645,21396.0
2646,21124.0
2647,16610.0
2648,17670.0
2649,16259.0
2650,13940.0
2651,11440.0
2652,13648.0
2653,13721.0
2654,12384.0
2655,14585.0
2656,25300.0
2657,68747.0
2658,21037.0
2659,16509.0
2660,14987.0
2661,32405.0
2662,27420.0
2663,16281.0
2664,11803.0
2665,12218.0
2666,12105.0
2667,11248.0
2668,11980.727272727276
2669,10213.0
2670,12138.0
2671,11891.0
2672,10778.0
2673,9525.0
2674,12321.0
2675,11328.0
2676,12496.0
2677,9124.0
2678,11028.0
2679,11777.0
2680,11231.0
2681,10746.0
2682,9254.0
2683,10921.0
2684,9547.0
2685,12101.0
2686,11408.0
2687,11435.0
2688,14640.0
2689,12206.0
2690,9853.0
2691,11416.0
2692,12571.0
2693,11241.0
2694,11482.0
2695,11369.0
2696,13181.0
2697,13048.0
2698,11431.0
2699,10649.0
2700,12259.0
2701,14114.0
2702,12887.0
2703,11421.0
2704,17462.0
2705,20862.0
2706,15053.0
2707,13172.0
2708,27210.0
2709,59737.0
2710,16162.0
2711,12967.0
2712,12806.0
2713,22646.0
2714,30511.0
2715,16137.0
2716,11371.0
2717,10594.0
2718,10431.0
2719,10725.0
2720,9858.0
2721,8703.0
2722,10562.0
2723,9542.0
2724,8766.0
2725,8355.0
2726,10034.0
2727,10375.0
2728,12827.0
2729,10461.0
2730,10238.0
2731,10314.0
2732,9441.0
2733,8450.0
2734,9273.0
2735,10685.0
2736,9575.0
2737,9273.0
2738,10479.0
2739,8397.0
2740,12710.0
2741,11622.0
2493,
2494,
2495,
2496,
2497,
2498,
2499,
2500,
2515,
2516,
2517,
2518,
2519,
2520,
2521,
2522,
2501,
2502,
2503,
2504,
2505,
2523,
2524,
2525,
2526,
2484,
2485,
2479,
2480,
2481,
2482,
2483,
2486,
2487,
2488,
2489,
2490,
2491,
2492,
2506,
2507,
2508,
2509,
2510,
2511,
2512,
2513,
2514,
