period_seq,b2c_timeseries
2527,24070.114795228164
2528,23533.930950755755
2529,24695.04057624977
2530,23766.97969169556
2531,27149.995152651427
2532,30082.503228273705
2533,30806.15510181624
2534,32008.854529910368
2535,25871.173269481907
2536,25495.28501157029
2537,24086.10421250777
2538,22834.380775898186
2539,22423.1124932684
2540,22829.06523125731
2541,20010.68800609834
2542,18870.0173035184
2543,24152.266929440484
2544,20350.450533647
2545,17331.984080593626
2546,18883.65289139451
2547,19230.56039272284
2548,18088.85329334636
2549,17328.689905525993
2550,18717.633853693347
2551,20340.49849473173
2552,42044.13803779262
2553,56378.62163594522
2554,44524.72021515771
2555,49218.6260334476
2556,48848.89268785606
2557,19680.444304702665
2558,19174.16340259308
2559,20156.21172810967
2560,17986.734651718223
2561,17862.561494486567
2562,18320.40205805749
2563,20163.61611264069
2564,18639.820846895684
2565,17638.14226126984
2566,19911.47153584428
2567,18140.90433510933
2568,20091.77039155289
2569,20577.22131245655
2570,23366.29430722056
2571,20694.635557359303
2572,27956.656163591524
2573,23444.312571525697
2574,17381.222974105574
2575,20041.69716200466
2576,20150.20016401727
2577,20882.8509317214
2578,20641.339596833
2579,20920.890016457222
2580,21647.54663651845
2581,19474.105826836905
2582,24753.63982907444
2583,21814.86027071894
2584,22859.23324286825
2585,23212.50434002272
2586,29899.736083046955
2587,20655.956437451423
2588,23005.976291222665
2589,21577.909450318653
2590,21329.19027755575
2591,19208.50517931192
2592,17713.474973942724
2593,20745.42177847153
2594,18867.576567125067
2595,17583.314658076903
2596,16835.85807903207
2597,16206.69564643689
2598,15361.532898334108
2599,15171.973225663218
2600,16595.04401396225
2601,22448.61619327884
2602,19823.64380117726
2603,18032.92328770153
2604,18353.583082753263
2605,43008.41714503506
2606,43549.15336380286
2607,38359.70525352427
2608,41385.660932076986
2609,17511.704840215345
2610,16469.899570707068
2611,17482.03394588744
2612,16908.468984432224
2613,13697.818520202012
2614,15119.706323121314
2615,16005.45081819096
2616,15320.991505323798
2617,14286.77445355674
2618,15035.298120899331
2619,16064.774694736425
2620,13430.676499435953
2621,7339.21910852312
2622,6365.252086684451
2623,9684.827186361948
2624,9486.125470768367
2625,7595.556642046364
2626,8330.232196446068
2627,10577.544725554642
2628,13304.77109110369
2629,13890.532101312438
2630,12383.02203395063
2631,15492.145778519822
2632,13136.326826937702
2633,13259.465471889616
2634,14689.141596189129
2635,17112.53705716279
2636,17018.781765977797
2637,17523.05812679605
2638,17005.92730462093
2639,15928.498518077744
2640,16903.101912498005
2641,16307.817851234802
2642,14028.32681480031
2643,14038.050893453315
2644,14468.99706574507
2645,14405.748701504786
2646,13809.345725061296
2647,13562.879235268409
2648,13363.68581554436
2649,12271.74811677457
2650,13702.295137951916
2651,15921.328680757151
2652,13841.825559997194
2653,13410.430853909163
2654,15060.534004112718
2655,17742.2701687569
2656,17416.846218591865
2657,48816.56853326971
2658,41093.78828406053
2659,35899.31305555108
2660,31574.191786333013
2661,10907.450030611924
2662,13584.054643578636
2663,10834.974992215552
2664,10880.560893049762
2665,9781.127702663329
2666,9380.324423721857
2667,9611.101773277614
2668,11319.885971058333
2669,9794.884786909151
2670,9209.877773396936
2671,9694.081689454706
2672,11836.706862540215
2673,11270.889942006494
2674,12053.681690006852
2675,9098.275699843762
2676,10457.40970818762
2677,9378.313611519585
2678,9624.627655488684
2679,9536.512753464243
2680,11491.32254098349
2681,10245.068375859408
2682,12209.5907911149
2683,13691.250452975084
2684,13086.002111149412
2685,13882.29089963176
2686,12865.23178591378
2687,16870.894142904825
2688,14833.019328194929
2689,14066.961844054482
2690,13790.568007071246
2691,13268.30634496701
2692,14927.022298289834
2693,14081.758901430172
2694,13815.803240291456
2695,13846.11328638264
2696,12389.135909911083
2697,11982.494657979189
