period_seq,b2c_timeseries
2527,11067.773690826314
2528,11193.526391124136
2529,10712.55441456518
2530,10825.67475953136
2531,10832.505949595212
2532,10515.907200407892
2533,10038.545891370244
2534,18678.992344641923
2535,10814.977209713306
2536,11772.338518750952
2537,13233.545060619354
2538,13748.377942940971
2539,14694.0828078025
2540,16070.410920608354
2541,17239.373644534608
2542,16912.77419396306
2543,17638.477781932386
2544,17178.34288144004
2545,15811.199988137483
2546,14568.609545171314
2547,14281.336024160288
2548,13343.750156416212
2549,14488.705433838006
2550,15172.693468231804
2551,19026.78268710283
2552,33200.51806986109
2553,28464.83887174309
2554,18574.57843780612
2555,20062.52928336392
2556,21793.43484311645
2557,15481.096435713536
2558,14617.501143860576
2559,17410.50104433311
2560,14349.936504502062
2561,14501.570883863566
2562,15429.470223440714
2563,14612.739202939232
2564,14346.328493136696
2565,14641.7783898896
2566,15012.393914034452
2567,15547.293926371933
2568,14437.108603220233
2569,14463.27170367992
2570,14372.896905616804
2571,14844.833639835
2572,15175.885527992736
2573,13388.468160105464
2574,12919.209221707131
2575,14567.378777615497
2576,13801.974161275308
2577,13241.03089352973
2578,13069.085182033788
2579,13659.0
2580,13485.495229955262
2581,14555.370304880164
2582,13668.426909673935
2583,13385.670804212874
2584,13773.797814260595
2585,13847.417712657108
2586,26698.0
2587,13811.0
2588,15836.019108153128
2589,15185.660304131374
2590,15006.682738832236
2591,16032.37233109226
2592,16644.756667864815
2593,17761.10705299477
2594,16684.24197675144
2595,16953.09705348102
2596,18323.382258959056
2597,17765.664902774883
2598,15919.395829680663
2599,15995.981927521389
2600,16312.800287010085
2601,16108.028050892846
2602,16461.96187466719
2603,18504.821868322422
2604,26893.09374041592
2605,49159.42376929181
2606,35779.800137552986
2607,22773.9084283886
2608,26865.51853529697
2609,22489.83981723986
2610,20706.01277214174
2611,21389.19166057615
2612,18684.58370880099
2613,16689.99656577184
2614,17690.50853755975
2615,18401.08402448504
2616,17913.397904182602
2617,17819.121733359887
2618,18989.796480040022
2619,21781.458647254083
2620,40639.31755642071
2621,70182.5197250004
2622,30256.3621974297
2623,24848.46772291504
2624,22593.992466006646
2625,21084.9087498045
2626,23252.462123424684
2627,25660.76908833372
2628,24754.542075147183
2629,27865.892258304026
2630,28578.14411212027
2631,26721.68501347639
2632,28164.86532284081
2633,31548.010259096976
2634,31078.016019936724
2635,28891.17870571784
2636,33998.97470896265
2637,28652.144
2638,26832.841794360927
2639,26679.72217257096
2640,25996.304077510784
2641,24749.72679018124
2642,24745.42476604212
2643,26119.47415039574
2644,29018.525539720427
2645,29998.242
2646,30967.431834941297
2647,30475.382662201555
2648,33932.96793928023
2649,38610.00462469942
2650,35559.73523352615
2651,52411.35346882568
2652,38523.40181113681
2653,37926.62012303497
2654,43112.981496587854
2655,45644.64447705786
2656,53348.93441512786
2657,82131.69744694301
2658,58778.0604171827
2659,42351.30052923977
2660,43712.04523809524
2661,34000.082293875785
2662,37702.85205707648
2663,46202.659257769854
2664,37020.95694243242
2665,35389.23131463274
2666,37773.29602704863
2667,38485.30462775756
2668,39497.85237846792
2669,35764.26861134869
2670,34695.40520087416
2671,34320.27752367886
2672,32290.465539809586
2673,30639.002951359827
2674,32579.08940791243
2675,30802.795936135863
2676,27539.90110589052
2677,27726.39176500988
2678,26426.692666666662
2679,28712.636571428564
2680,28937.104
2681,29595.53099999999
2682,25924.04885714285
2683,27022.215619047616
2684,23547.84052380952
2685,24192.03619047619
2686,24752.337
2687,45016.17671428571
2688,27309.612714285704
2689,25546.304571428573
2690,24318.87709943977
2691,24078.77923809524
2692,27350.96
2693,26131.336047619046
2694,26668.957142857143
2695,25608.335666666662
2696,29713.92471428572
2697,31483.845666666668
2698,29890.12923809524
2699,29685.15671428572
2700,29255.89947619046
2701,30032.110142857146
2702,31416.822428571424
2703,27662.021714285715
2704,23455.51971428572
2705,26366.01171428572
2706,28664.489285714284
2707,39158.5318095238
2708,41836.81471428571
2709,63769.15871428572
2710,44655.49780952381
2711,32470.842142857146
2712,36291.120285714285
2713,27775.399
2714,30790.358
2715,33108.33933333333
2716,28420.93
2717,26993.676333333333
2718,25916.873
2719,25761.27933333333
2720,24085.626666666667
2721,24514.051333333333
2722,24717.828
2723,25943.055
2724,22209.408666666663
2725,20303.496666666662
2726,20327.189999999995
2727,24332.843473756573
2728,25822.575
2729,22686.386
2730,20010.34892618248
2731,23691.883
2732,21140.53577777778
2733,20873.741
2734,
2735,
2736,
2737,
2738,
2739,
2740,
2741,
2519,11543.120538869274
2507,13568.108588679464
2521,10552.02815851155
2523,12747.597013033535
2516,12112.472898948638
2522,12560.678057802656
2514,12314.758312799791
2524,10423.74686066913
2510,13153.316607497763
2513,12271.352433799331
2511,12912.412673486757
2525,11115.330111991245
2515,13637.741104561694
2506,12049.42019391035
2517,12791.13733343966
2520,11155.07968938897
2512,12296.398746580788
2526,10704.439329961
2508,12077.93894469763
2509,12786.712685414792
2518,12214.117952671078
