period_seq,b2c_timeseries
2558,3224.2644447619045
2559,2638.0345457142857
2560,2344.919596190476
2561,3810.494343809524
2562,2638.0345457142857
2563,2578.590781746032
2564,2269.159887936508
2565,3094.3089380952383
2566,2372.3035192063494
2567,2660.228557380952
2568,2660.228557380952
2569,2544.566446190476
2570,3701.1875580952383
2571,2650.9126348534583
2572,2102.447951780329
2573,1828.215610243764
2574,2559.50185434127
2575,2465.734514620181
2576,2342.4477888891724
2577,2095.8743374271544
2578,2712.3079660821995
2579,2712.3079660821995
2580,2099.775211694161
2581,2464.953509380102
2582,2464.953509380102
2583,2099.775211694161
2584,1984.02552579932
2585,2083.2268020892857
2586,1984.02552579932
2587,1785.622973219388
2588,2083.2268020892857
2589,2654.147755208334
2590,2866.4795756250005
2591,2547.9818450000007
2592,2547.9818450000007
2593,1730.8151177638897
2594,2341.6910416805563
2595,3258.0049275555566
2596,2850.754311611112
2597,2607.266082478175
2598,2332.817021164683
2599,2470.041551821429
2600,3705.062327732144
2601,2607.266082478175
2602,2392.439708000001
2603,2525.353025111112
2604,3057.006293555556
2605,5316.532684444446
2606,3270.302452952382
2607,2452.726839714286
2608,3951.615463984128
2609,3951.615463984128
2610,3981.1095806156673
2611,3222.8029938317304
2612,3033.2263471357464
2613,5308.146107487556
2614,3412.379640527715
2615,2552.148505147011
2616,2339.4694630514264
2617,2658.488026194803
2618,3083.846110385972
2619,2038.082587460318
2620,2038.082587460318
2621,3432.560147301588
2622,3218.025138095239
2623,2586.335832444445
2624,2051.231867111112
2625,2051.231867111112
2626,2229.599855555556
2627,2701.787649700855
2628,2114.442508461538
2629,2584.3186214529915
2630,2114.442508461538
2631,2231.911536709402
2632,2542.327946208791
2633,2636.4882405128205
2634,2354.0073576007326
2635,1883.205886080586
2636,2135.618920416425
2637,2242.3998664372466
2638,1815.2760823539616
2639,2135.618920416425
2640,2349.180812458068
2641,1842.4719736070945
2642,2161.1423683285134
2643,2272.359967008868
2644,2867.7055590909963
2645,2548.7211278195487
2646,2343.5024175824174
2647,2321.971571428571
2648,2553.415036630036
2649,2969.620688259109
2650,2694.6454589358027
2651,2720.8636842105275
2652,2928.186000000003
2653,2794.4661992481224
2654,2567.681774725275
2655,2974.41112781955
2656,2906.362556390979
2657,4798.224367746291
2658,3497.4430000000016
2659,2803.718714285716
2660,3138.457969924813
2661,2544.542857142858
2662,2835.550837957126
2663,2829.971592505855
2664,3172.397928571429
2665,3121.739163934428
2666,3627.3005
2667,3213.7498787353006
2668,2582.0203015873026
2669,3756.207442287413
2670,3367.224484962408
2671,3124.030845701208
2672,3348.536016760126
2673,2981.819888308414
2674,3408.050823232832
2675,2828.371064380573
2676,2868.0938987099853
2677,3124.6312443595048
2678,3064.5502950310583
2679,2879.317041062804
2680,2866.138368238042
2681,2461.556998327758
2682,3221.880766841857
2683,3095.997379227054
2684,2415.615974914991
2685,2384.071882332644
2686,2245.6854858509155
2687,3262.159322344324
2688,2731.464498327764
2689,2381.6203696183043
2690,2378.6849714657324
2691,2046.944743813269
2692,2196.4445127660297
2693,2079.9602564102565
2694,2131.0256266921474
2695,2243.507535687048
2696,2662.318425956197
2697,2425.5821997929606
2698,2335.70493961353
2699,2534.8970815807656
2700,2577.9414855072487
2701,2892.175597721027
2702,2739.2068809523826
2703,2527.7051294670578
2704,2692.4623516892807
2705,2785.6444322958264
2706,2609.141478888762
2707,2625.490425816137
2708,3190.261114620152
2709,5800.770619047621
2710,3370.5162619047665
2711,2716.9995714285733
2712,3149.6869285714315
2713,2780.5904047619074
2714,3193.7140952381
2715,2853.8533333333366
2716,2712.418452380955
2717,2894.1795714285736
2718,3931.092190476195
2719,2955.734000000005
2720,2524.060666666672
2721,2219.902000000007
2722,2577.220666666673
2723,2114.395666666674
2724,2121.780666666673
2725,2214.101000000004
2726,2191.624333333337
2727,2464.583666666676
2728,2368.122000000008
2729,1897.200666666674
2730,1926.026333333342
2731,1873.16233333334
2732,1805.990666666671
2733,1759.153000000003
2734,
2735,
2736,
2737,
2738,
2739,
2740,
2741,
