period_seq,b2c_timeseries
2527,3795.0
2528,3676.0
2529,4387.0
2530,4762.0
2531,5409.0
2532,4348.0
2533,5043.0
2534,4480.0
2535,4417.0
2536,7495.0
2537,9293.0
2538,13193.0
2539,11552.0
2540,8222.0
2541,6917.0
2542,6609.0
2543,5820.5
2544,5463.6
2545,4301.2
2546,4141.6
2547,4424.633333333333
2548,4494.966666666666
2549,3918.0
2550,4245.0
2551,3924.0
2552,14984.0
2553,6190.0
2554,5142.0
2555,6421.0
2556,7184.0
2557,4671.0
2558,6311.0
2559,6004.0
2560,5314.0
2561,4615.0
2562,4782.0
2563,4149.0
2564,5284.0
2565,4247.0
2566,4158.0
2567,4805.0
2568,4036.0
2569,4242.0
2570,4198.0
2571,3676.0
2572,3527.0
2573,2242.0
2574,3501.0
2575,3564.0
2576,3811.0
2577,3380.0
2578,3604.0
2579,3573.0
2580,3696.0
2581,4114.0
2582,5007.0
2583,5682.0
2584,4529.0
2585,3809.0
2586,4256.0
2587,3913.0
2588,6466.0
2589,11110.0
2590,12490.0
2591,11549.0
2592,8503.0
2593,6365.0
2594,5785.0
2595,5711.0
2596,5277.0
2597,4751.0
2598,4436.0
2599,4636.0
2600,4999.0
2601,4565.0
2602,3915.0
2603,4370.0
2604,4167.0
2605,15435.0
2606,7745.0
2607,5880.0
2608,7518.0
2609,3666.0
2610,5579.0
2611,5774.0
2612,5469.0
2613,5052.0
2614,5819.0
2615,4346.0
2616,4576.0
2617,4794.0
2618,5771.0
2619,4554.0
2620,5431.0
2621,6434.0
2622,5925.0
2623,5367.0
2624,3534.0
2625,5045.0
2626,4959.0
2627,4160.0
2628,4327.0
2629,4453.0
2630,3833.0
2631,3846.0
2632,3884.0
2633,4098.0
2634,4745.0
2635,5707.0
2636,5267.0
2637,4913.0
2638,4800.0
2639,5047.0
2640,7059.0
2641,10310.0
2642,11819.0
2643,11259.0
2644,8406.0
2645,6377.0
2646,5555.0
2647,5214.0
2648,7031.0
2649,4714.0
2650,4938.0
2651,4627.0
2652,5080.0
2653,4800.0
2654,4312.0
2655,4966.0
2656,7737.0
2657,16035.0
2658,7390.0
2659,5924.0
2660,6702.0
2661,3917.0
2662,5861.0
2663,7403.0
2664,6063.0
2665,5193.0
2666,4807.0
2667,4470.0
2668,4490.0
2669,4495.0
2670,4451.0
2671,4118.0
2672,5093.0
2673,4600.0
2674,4540.0
2675,2514.0
2676,4473.0
2677,4506.0
2678,4091.0
2679,4202.0
2680,4952.0
2681,3983.0
2682,3932.0
2683,3835.0
2684,4516.0
2685,4105.0
2686,6811.0
2687,4938.0
2688,4005.0
2689,8433.0
2690,4375.0
2691,5223.0
2692,6180.0
2693,10766.0
2694,16314.0
2695,11072.0
2696,8303.0
2697,7195.0
2698,5666.0
2699,5201.0
2700,4817.0
2701,4524.0
2702,4169.0
2703,4351.0
2704,6647.0
2705,4465.0
2706,4251.0
2707,4288.0
2708,5787.0
2709,13523.0
2710,7077.0
2711,4938.0
2712,5960.0
2713,4318.0
2714,5115.0
2715,7229.0
2716,5598.0
2717,5162.0
2718,5376.0
2719,4772.0
2720,4736.0
2721,4417.0
2722,3987.0
2723,3724.0
2724,4098.0
2725,5978.0
2726,4380.0
2727,4093.0
2728,3925.0
2729,2702.0
2730,3606.0
2731,4658.0
2732,4023.0
2733,4079.0
2734,
2735,
2736,
2737,
2738,
2739,
2740,
2741,
2515,3948.0
2516,4226.0
2517,4185.0
2518,2403.0
2519,3821.0
2520,3864.0
2521,4368.0
2522,4403.0
2523,3674.0
2524,3126.0
2525,3068.0
2526,3696.0
2506,8473.0
2507,6447.0
2508,5951.0
2509,5352.0
2510,4806.0
2511,4291.0
2512,4704.0
2513,4176.0
2514,4323.0
