period_seq,b2c_timeseries
2527,6732.4258741258745
2528,7370.432167832168
2529,8971.317482517483
2530,6938.446153846154
2531,10250.065034965037
2532,8715.531168831169
2533,8016.880519480519
2534,7602.851948051948
2535,7946.472727272727
2536,7567.498701298701
2537,7897.735064935065
2538,7775.137662337663
2539,9216.498701298702
2540,10192.85238095238
2541,7175.685714285714
2542,7693.7095238095235
2543,6732.838095238095
2544,8656.942857142858
2545,7466.742857142857
2546,7223.933333333333
2547,7553.8761904761905
2548,7335.552380952381
2549,8539.361904761905
2550,8241.119047619048
2551,6388.352380952381
2552,34277.642857142855
2553,12374.314285714288
2554,12660.57142857143
2555,14158.19523809524
2556,20418.72380952381
2557,19010.44285714285
2558,9440.104761904762
2559,7898.504761904762
2560,7305.142857142857
2561,8386.042857142857
2562,7331.4047619047615
2563,8491.247619047619
2564,7450.4
2565,7602.619047619048
2566,7382.519047619047
2567,7378.4047619047615
2568,7617.428571428572
2569,6374.861904761905
2570,7519.257142857143
2571,6939.285714285715
2572,7878.857142857143
2573,6082.314285714286
2574,6668.314285714286
2575,7737.485714285714
2576,6218.057142857143
2577,6385.152380952381
2578,6523.114285714286
2579,6977.542857142857
2580,6492.371428571429
2581,6804.997568389058
2582,5629.6756838905485
2583,10373.635055724371
2584,9530.338095238048
2585,7863.303647416382
2586,7401.946808510608
2587,6599.677912867245
2588,7276.262107396114
2589,7610.11702127656
2590,7327.482978723376
2591,7369.833535967542
2592,7577.266794251154
2593,7706.638601823664
2594,6509.482370820628
2595,6331.714285714275
2596,7330.714285714275
2597,6911.199999999991
2598,6551.199999999991
2599,6577.17142857142
2600,6809.285714285708
2601,6421.054285714282
2602,6623.0
2603,6593.0
2604,5950.0
2605,29257.0
2606,11347.0
2607,12406.0
2608,17186.0
2609,18192.0
2610,8231.0
2611,6130.0
2612,5992.0
2613,8111.0
2614,7657.0
2615,6872.0
2616,6351.0
2617,6423.0
2618,8302.0
2619,6205.0
2620,6076.0
2621,6332.0
2622,7915.0
2623,7900.0
2624,7676.0
2625,7944.0
2626,8011.0
2627,6759.0
2628,7190.0
2629,7388.0
2630,6161.0
2631,6862.0
2632,6954.0
2633,6974.0
2634,5895.0
2635,8707.0
2636,9581.0
2637,8245.0
2638,7369.0
2639,7747.0
2640,8171.0
2641,5868.0
2642,6172.0
2643,7211.0
2644,7920.0
2645,6963.0
2646,7339.0
2647,5914.0
2648,7587.0
2649,7679.0
2650,7675.0
2651,6149.0
2652,6874.0
2653,6905.0
2654,6665.0
2655,6551.0
2656,7964.0
2657,28775.0
2658,13955.0
2659,15024.0
2660,15164.0
2661,13282.0
2662,9273.0
2663,8069.0
2664,7484.0
2665,7570.0
2666,7591.0
2667,7032.0
2668,6785.0
2669,6715.0
2670,7096.0
2671,6629.0
2672,6813.0
2673,6497.0
2674,8918.0
2675,6803.0
2676,6809.0
2677,5906.0
2678,6441.0
2679,6255.0
2680,6674.0
2681,5272.0
2682,6498.0
2683,6870.0
2684,6010.0
2685,7124.0
2686,7093.0
2687,6592.0
2688,8043.0
2689,8578.0
2690,6601.0
2691,6556.0
2692,6987.0
2693,6754.0
2694,7433.0
2695,7572.0
2696,7877.0
2697,6716.0
2698,5924.0
2699,5700.0
2700,7230.0
2701,8164.0
2702,6826.0
2703,5875.0
2704,6134.0
2705,6861.0
2706,6713.0
2707,5911.0
2708,8879.0
2709,19409.0
2710,11788.0
2711,11279.0
2712,13685.0
2713,13339.0
2714,10433.0
2715,8546.0
2716,8044.0
2717,6488.0
2718,6810.0
2719,6542.0
2720,6681.0
2721,6719.0
2722,7463.0
2723,6216.0
2724,5621.0
2725,6440.0
2726,6369.0
2727,6768.0
2728,8747.0
2729,6706.0
2730,6669.0
2731,7288.0
2732,6384.0
2733,6197.0
2734,
2735,
2736,
2737,
2738,
2739,
2740,
2741,
2493,7512.685714285714
2494,8017.671428571429
2495,7435.814285714286
2496,8237.45
2497,6447.864285714286
2498,5997.171428571429
2499,5388.692857142857
2500,30691.1
2515,10053.20294117647
2516,8010.047058823529
2517,7920.064705882353
2518,7627.970629370629
2519,7043.272027972028
2520,6884.499300699301
2521,6350.223776223776
2522,7486.93006993007
2501,11320.642857142857
2502,14839.05
2503,18366.15
2504,22350.5
2505,23701.75
2523,7762.344755244755
2524,5456.031468531469
2525,5795.173426573427
2526,6483.046853146853
2484,6973.064285714286
2485,8497.714285714286
2479,11171.15
2480,8349.442857142858
2481,7248.621428571429
2482,6053.864285714286
2483,8303.628571428571
2486,7933.357142857143
2487,8530.692857142858
2488,9293.442857142858
2489,7002.835714285714
2490,6680.521428571428
2491,7117.635714285714
2492,8184.6
2506,8773.0
2507,7724.2
2508,7302.4
2509,9040.8
2510,8728.344117647059
2511,6873.441176470588
2512,6987.435294117647
2513,7517.826470588236
2514,7517.547058823529
