period_seq,b2c_timeseries
2527,5366.821678321679
2528,6171.114685314686
2529,6497.595104895105
2530,4978.932867132867
2531,8472.067132867132
2532,5944.148051948052
2533,5713.6051948051945
2534,5961.1051948051945
2535,6214.475324675324
2536,7797.877922077922
2537,8969.574025974025
2538,10686.803896103896
2539,13024.94025974026
2540,11623.190476190475
2541,10114.890476190476
2542,8585.542857142857
2543,7682.714285714285
2544,7866.938095238095
2545,6825.738095238095
2546,6373.509523809524
2547,6044.133333333333
2548,6035.538095238096
2549,6105.871428571429
2550,5874.780952380952
2551,4854.633333333333
2552,21570.457142857143
2553,8289.104761904762
2554,5912.295238095238
2555,6663.228571428572
2556,8133.471428571429
2557,17360.0
2558,8298.67619047619
2559,7034.876190476191
2560,6439.638095238095
2561,7419.128571428571
2562,6775.842857142857
2563,6901.885714285714
2564,6775.938095238095
2565,6105.4857142857145
2566,5961.176190476191
2567,5478.761904761905
2568,5980.171428571429
2569,5499.9
2570,5567.7904761904765
2571,5568.057142857143
2572,5638.342857142857
2573,4603.0
2574,4982.457142857143
2575,5277.685714285714
2576,4827.057142857143
2577,4669.971428571429
2578,5014.72380952381
2579,5774.866666666667
2580,5181.742857142857
2581,5638.601114488349
2582,4218.04143870314
2583,8867.342249240119
2584,6601.128267477202
2585,5790.421276595744
2586,5513.561904761905
2587,5081.671124620059
2588,7335.306990881459
2589,7845.892401215803
2590,9074.831914893615
2591,12282.643667679837
2592,11457.417325227943
2593,10752.728267477192
2594,8399.117629179318
2595,7771.142857142848
2596,7181.942857142848
2597,6409.085714285707
2598,8124.428571428562
2599,5583.914285714278
2600,5805.428571428566
2601,5762.773485714281
2602,5258.0
2603,4915.0
2604,4803.0
2605,23552.0
2606,9651.0
2607,6602.0
2608,7971.0
2609,16887.0
2610,10030.0
2611,7785.0
2612,7639.0
2613,7262.0
2614,7370.0
2615,6517.0
2616,5904.0
2617,6731.0
2618,6243.0
2619,5999.0
2620,6103.0
2621,6796.0
2622,7040.0
2623,6929.0
2624,5855.0
2625,5992.0
2626,6611.0
2627,5704.0
2628,5669.0
2629,7377.0
2630,5439.0
2631,6199.0
2632,6762.0
2633,6126.0
2634,5046.0
2635,7423.0
2636,7764.0
2637,6662.0
2638,5959.0
2639,6382.0
2640,8997.0
2641,7951.0
2642,9249.0
2643,14190.0
2644,12974.0
2645,10253.0
2646,9605.0
2647,7747.0
2648,7956.0
2649,7713.0
2650,8248.0
2651,6433.0
2652,6652.0
2653,6963.0
2654,6527.0
2655,6910.0
2656,10128.0
2657,26046.0
2658,9876.0
2659,8349.0
2660,9373.0
2661,12625.0
2662,12973.0
2663,10347.0
2664,8413.0
2665,7908.0
2666,8020.0
2667,7360.0
2668,7185.0
2669,7101.0
2670,7492.0
2671,7157.0
2672,7325.0
2673,6907.0
2674,7995.0
2675,6356.0
2676,7226.0
2677,6157.0
2678,6784.0
2679,6606.0
2680,7097.0
2681,5421.0
2682,6911.0
2683,6852.0
2684,6587.0
2685,7002.0
2686,6361.0
2687,6191.0
2688,8027.0
2689,6877.0
2690,5750.0
2691,6530.0
2692,7777.0
2693,8923.0
2694,10772.0
2695,11911.0
2696,15055.0
2697,11373.0
2698,8449.0
2699,7478.0
2700,8164.0
2701,8043.0
2702,6810.0
2703,7912.0
2704,6819.0
2705,7183.0
2706,6683.0
2707,6708.0
2708,10227.0
2709,24320.0
2710,9295.0
2711,7392.0
2712,8546.0
2713,11783.0
2714,16238.0
2715,10534.0
2716,8594.0
2717,7842.0
2718,7625.0
2719,6893.0
2720,6697.0
2721,6556.0
2722,6561.0
2723,6767.0
2724,5942.0
2725,5767.0
2726,6582.0
2727,6529.0
2728,8022.0
2729,6298.0
2730,6896.0
2731,6452.0
2732,5967.0
2733,6067.0
2734,
2735,
2736,
2737,
2738,
2739,
2740,
2741,
2493,6999.221428571429
2494,6899.914285714286
2495,5977.042857142857
2496,6528.8
2497,4996.05
2498,4612.892857142857
2499,3608.421428571429
2500,21896.44285714285
2515,6299.067647058823
2516,6281.817647058823
2517,6974.405882352941
2518,6368.14055944056
2519,6694.025174825175
2520,5463.939160839161
2521,5635.804895104895
2522,6583.144755244755
2501,8112.135714285714
2502,6168.45
2503,8219.4
2504,9551.05
2505,23943.4
2523,5770.596503496504
2524,4328.864335664336
2525,5170.357342657343
2526,5581.695104895105
2484,7903.485714285714
2485,8905.957142857143
2479,10453.621428571429
2480,6837.928571428572
2481,5694.564285714286
2482,6058.478571428572
2483,7119.964285714285
2486,9246.55
2487,12198.528571428573
2488,11142.642857142857
2489,9582.078571428572
2490,8010.742857142857
2491,7768.807142857143
2492,7505.485714285714
2506,10442.1
2507,7906.4
2508,7435.15
2509,7396.1
2510,7172.714705882353
2511,6240.364705882353
2512,5724.717647058824
2513,7578.126470588235
2514,6780.155882352941
