period_seq,b2c_timeseries
2527,8183.274825174825
2528,10153.628671328672
2529,13514.205594405594
2530,9819.276223776224
2531,14173.05034965035
2532,11417.248051948052
2533,9530.972727272729
2534,8700.581818181818
2535,9104.855844155843
2536,9888.263636363636
2537,10980.28051948052
2538,9574.597402597405
2539,11027.68961038961
2540,11146.933333333334
2541,9837.14761904762
2542,8960.185714285713
2543,8649.438095238096
2544,12668.528571428573
2545,9528.228571428572
2546,8070.185714285714
2547,8402.32380952381
2548,10155.966666666667
2549,9753.028571428573
2550,11174.585714285717
2551,8151.857142857143
2552,56471.97619047619
2553,14487.657142857142
2554,9526.057142857142
2555,10084.442857142858
2556,11942.528571428573
2557,45854.32380952381
2558,16878.54761904762
2559,10972.580952380951
2560,8272.009523809524
2561,8694.647619047619
2562,8010.138095238095
2563,9229.3
2564,9129.138095238097
2565,7743.714285714285
2566,11106.84761904762
2567,9139.42857142857
2568,8699.647619047619
2569,9555.361904761903
2570,10018.380952380952
2571,8351.714285714286
2572,10143.761904761905
2573,8478.866666666667
2574,8693.695238095239
2575,9722.30476190476
2576,8025.257142857143
2577,7117.352380952381
2578,9159.52380952381
2579,9254.961904761903
2580,7869.752380952381
2581,8896.791590678824
2582,6508.580952380952
2583,15905.4
2584,12960.93444782168
2585,9721.458257345492
2586,9494.504761904762
2587,8032.752380952381
2588,9759.019047619047
2589,11286.30476190476
2590,9532.65825734549
2591,10182.980952380953
2592,10642.096352583518
2593,10374.392705167127
2594,9751.68206686928
2595,8979.462637362623
2596,12985.79450549449
2597,10060.17142857138
2598,9531.88571428567
2599,8874.885714285676
2600,11784.02857142852
2601,9865.28857142855
2602,9518.0
2603,8438.0
2604,9783.0
2605,63295.0
2606,17028.0
2607,11265.0
2608,12428.0
2609,42613.0
2610,19279.99991
2611,11638.0
2612,9104.0
2613,8970.0
2614,9182.0
2615,8305.0
2616,9312.0
2617,7591.0
2618,10944.0
2619,10135.0
2620,8736.0
2621,9830.0
2622,10881.0
2623,12000.0
2624,11349.0
2625,10938.0
2626,9762.0
2627,12324.0
2628,10432.0
2629,10076.0
2630,11903.0
2631,9997.0
2632,10165.0
2633,10516.0
2634,9032.0
2635,14137.0
2636,16010.0
2637,14681.0
2638,12170.0
2639,12665.0
2640,13171.0
2641,11550.0
2642,12930.0
2643,19104.0
2644,22669.0
2645,20994.0
2646,20744.0
2647,16259.0
2648,17331.0
2649,15927.0
2650,13648.0
2651,11169.0
2652,13282.0
2653,13466.0
2654,12082.0
2655,14299.0
2656,24980.0
2657,68304.0
2658,20685.0
2659,16180.0
2660,14608.0
2661,32270.0
2662,27366.0
2663,16138.0
2664,11576.0
2665,11983.0
2666,11780.0
2667,10974.0
2668,11818.727272727276
2669,10048.0
2670,11911.0
2671,11704.0
2672,10603.0
2673,9296.0
2674,12094.0
2675,11168.0
2676,12231.0
2677,8906.0
2678,10815.0
2679,11552.0
2680,11023.0
2681,10633.0
2682,9076.0
2683,10688.0
2684,9256.0
2685,11898.0
2686,11225.0
2687,11282.0
2688,14479.0
2689,12054.0
2690,9772.0
2691,11339.0
2692,12523.0
2693,11150.0
2694,11339.0
2695,11145.0
2696,12961.0
2697,12771.0
2698,11153.0
2699,10361.0
2700,11863.0
2701,13892.0
2702,12590.0
2703,11148.0
2704,17112.0
2705,20573.0
2706,14692.0
2707,12894.0
2708,26889.0
2709,59245.0
2710,15847.0
2711,12569.0
2712,12416.0
2713,22464.0
2714,30387.0
2715,16004.0
2716,11204.0
2717,10343.0
2718,10282.0
2719,10471.0
2720,9606.0
2721,8531.0
2722,10290.0
2723,9281.0
2724,8539.0
2725,8205.0
2726,9765.0
2727,10191.0
2728,12598.0
2729,10310.0
2730,9995.0
2731,10087.0
2732,9214.0
2733,8233.0
2734,
2735,
2736,
2737,
2738,
2739,
2740,
2741,
2493,9538.285714285714
2494,8701.578571428572
2495,9121.442857142858
2496,10869.807142857142
2497,8192.5
2498,7091.321428571428
2499,5303.578571428571
2500,45567.46428571428
2515,7998.785294117647
2516,8587.282352941176
2517,10139.244117647058
2518,9481.73916083916
2519,9532.751048951048
2520,7336.093706293706
2521,6751.295804195804
2522,9882.355244755245
2501,14060.064285714288
2502,11398.6
2503,10792.3
2504,11640.95
2505,48905.9
2523,9060.192307692309
2524,7120.809090909091
2525,6847.548251748252
2526,8697.325874125874
2484,9736.385714285714
2485,9871.8
2479,18485.878571428573
2480,9472.657142857142
2481,9156.635714285714
2482,9469.664285714283
2483,10402.021428571428
2486,8478.492857142857
2487,9521.042857142857
2488,10361.735714285714
2489,9464.471428571427
2490,9865.371428571429
2491,8990.0
2492,12878.25
2506,13583.6
2507,10217.5
2508,8678.0
2509,10652.5
2510,9145.75294117647
2511,9445.7
2512,8705.141176470588
2513,9036.714705882352
2514,9441.432352941176
