,country_code,item_group_code,outlet_group_code,week_of_forecast,target,baseline,num_values_used_in_calculation,mape,mae,rmse,mpe,wide_mape,mape_cumsum_h_1,mape_cumsum_h_4,mape_cumsum_h_8,mape_cumsum_h_13,mape_cumsum_h_26,mae_cumsum_h_1,mae_cumsum_h_4,mae_cumsum_h_8,mae_cumsum_h_13,mae_cumsum_h_26,rmse_cumsum_h_1,rmse_cumsum_h_4,rmse_cumsum_h_8,rmse_cumsum_h_13,rmse_cumsum_h_26,mpe_cumsum_h_1,mpe_cumsum_h_4,mpe_cumsum_h_8,mpe_cumsum_h_13,mpe_cumsum_h_26,wide_mape_cumsum_h_1,wide_mape_cumsum_h_4,wide_mape_cumsum_h_8,wide_mape_cumsum_h_13,wide_mape_cumsum_h_26,in_prod_training,in_prod_inference,1-mase,1-rmsse,rmsse,1-mase_cumsum_h_1,1-mase_cumsum_h_4,1-mase_cumsum_h_8,1-mase_cumsum_h_13,1-mase_cumsum_h_26,1-rmsse_cumsum_h_1,1-rmsse_cumsum_h_4,1-rmsse_cumsum_h_8,1-rmsse_cumsum_h_13,1-rmsse_cumsum_h_26,rmsse_cumsum_h_1,rmsse_cumsum_h_4,rmsse_cumsum_h_8,rmsse_cumsum_h_13,rmsse_cumsum_h_26,cell,week_of_forecast_date
0,SE,MEDIATABLETS,ALL,2701,quantity,prophet,26,0.1450472830772749,1349.0822201576707,1901.3790279153768,0.03984308618906,0.0344769941887166,0.0697843852509604,0.0799709290895516,0.0639808256475997,0.0706538131255845,0.0578421185051887,529.8030528252921,1203.3653078318218,1769.4342198652955,4532.153146860734,6417.063755576281,529.8030528252921,1466.63921752054,2295.312424068362,5922.428212920733,7240.642010403934,0.0697843852509604,0.0761914303688488,0.0527010424688289,0.0637124080924947,0.0543714159886438,0.0697843852509604,0.0618544910869304,0.0406019117516423,0.0676543061951124,0.0496973915223623,True,True,-0.1142356329129428,0.1493060591748429,0.850693940825157,0.1643484971209904,0.0796441240291994,0.3525374487068397,0.4310189192738818,0.5070899099670495,0.1643484971209904,-0.0417609458887786,0.4565199515546242,0.4470045055710486,0.5147949879482743,0.8356515028790096,1.0417609458887789,0.5434800484453758,0.5529954944289514,0.4852050120517257,SE-MEDIATABLETS-ALL,2021-09-26
1,GB,INKJET_PRINTING_DEVICES,ALL,2701,quantity,prophet,26,0.1861315656123322,6396.06050056641,7898.784653730919,0.1010877498124598,0.0896182544500445,0.062715571922565,0.0737104967126056,0.0684781442307953,0.0926330253552937,0.0904053899383629,2415.285078461631,6485.655758015462,11376.483607326816,27318.90940130558,44228.63236620476,2415.285078461631,6963.960298176798,15118.471519532544,34969.042627054565,50553.4439487085,0.062715571922565,0.0737104967126056,0.0684781442307953,0.0926330253552937,0.0904053899383629,0.062715571922565,0.0719952298285973,0.0705023338752081,0.1071302294995594,0.0904034549899009,True,True,0.3291778603855881,0.3588139734273923,0.6411860265726077,0.8432802367455958,0.7579712678454981,0.7501792593020331,0.6288459253622165,0.6644403978223472,0.8432802367455958,0.7533234379995298,0.7041807061421943,0.5831742389530037,0.6562731084847079,0.1567197632544041,0.2466765620004701,0.2958192938578057,0.4168257610469963,0.3437268915152921,GB-INKJET_PRINTING_DEVICES-ALL,2021-09-26
2,DK,PTV_FLAT,ALL,2701,quantity,prophet,26,0.3253224513561936,2345.3936073682885,2798.414466909069,0.2885691419479496,0.2251113275973803,0.4004409600253544,0.3715099220140863,0.2882665344595356,0.2494322707309345,0.2187313028221004,2846.7347848202444,6083.951231671858,7913.445076320568,11839.46775231742,21953.43103159223,2846.7347848202444,6388.606593810728,8481.338508051102,13188.150656041464,25109.92932305904,0.4004409600253544,0.3715099220140863,0.2882665344595356,0.2494322707309345,0.2187313028221004,0.4004409600253544,0.3468417554114279,0.2361156366363117,0.2052743704655776,0.1941443378275349,True,True,0.2753991493093206,0.2549685883920748,0.7450314116079252,0.6787343657803584,0.603754641678269,0.6434441512643293,0.6254016896133217,0.5431647032664197,0.6787343657803584,0.5988976686072358,0.6429787655861487,0.6180357108646287,0.5194066034988808,0.3212656342196416,0.4011023313927642,0.3570212344138512,0.3819642891353713,0.4805933965011192,DK-PTV_FLAT-ALL,2021-09-26
3,CH,MOBILE_COMPUTING,ALL,2701,quantity,prophet,26,0.1470666620106901,1871.2575056188489,2759.415957221682,0.0215027111746784,0.0091724736719934,0.0297420100425072,0.0779629303022848,0.0598658601379998,0.0430614315452883,0.0285526665330286,298.2252166369235,1998.871765311864,2446.384089062477,2377.898896922809,3002.346384437032,298.2252166369235,2382.767306687427,3109.536109986844,2894.6483220601426,3564.63356589844,0.0297420100425072,0.0779629303022848,0.0542662791596819,0.0351019345040406,0.0105290164916358,0.0297420100425072,0.0822965701378037,0.0404576161288091,0.0161841641644688,0.0066223279887232,True,True,0.0386721272711492,-0.1025184497025746,1.1025184497025746,0.3047228763739461,0.4157668981598359,0.6341995050562593,0.7452524475602562,0.7314397090395781,0.3047228763739461,0.4406299384678773,0.5986228145001038,0.7240703631253189,0.7034918504049292,0.6952771236260539,0.5593700615321227,0.4013771854998962,0.2759296368746811,0.2965081495950707,CH-MOBILE_COMPUTING-ALL,2021-09-26
4,DE,DIGITAL_CAMERAS,ALL,2701,quantity,prophet,26,0.0842664288278638,1182.1953079015684,1635.237481475065,-0.0573873868574778,0.0550784743335494,0.0799817166020095,0.0702514128669871,0.0895873142616358,0.0813041505379782,0.0673379655764003,842.697745782647,1882.0315162407517,5341.43514780491,7895.059104917344,11380.69124049322,842.697745782647,2081.332524720067,6579.8332999924105,9099.220289840465,12380.662015018264,-0.0799817166020095,-0.0702514128669871,-0.0895873142616358,-0.0813041505379782,-0.0673379655764003,0.0799817166020095,0.0691771969043035,0.098641287356958,0.0761932955713427,0.0594722420877464,True,True,0.7340895620142023,0.7630875152666642,0.2369124847333358,0.7631891903756574,0.805810067625555,0.7202201405858402,0.8109531043023612,0.8342100355046529,0.7631891903756574,0.8012952802046165,0.7167364541608745,0.8249758684677975,0.8393237166077037,0.2368108096243426,0.1987047197953835,0.2832635458391255,0.1750241315322025,0.1606762833922963,DE-DIGITAL_CAMERAS-ALL,2021-09-26
5,NO,PTV_FLAT,ALL,2701,quantity,prophet,26,0.212246090608144,1756.6738626759047,2724.084393895399,0.0762042107795678,0.0238112115283987,0.1935916619869616,0.1457581692258267,0.1133163057476725,0.0930277392094948,0.0625621201600038,1090.6954236345418,1607.983812868,2600.7138549703573,3920.327154188737,4545.968999160699,1090.6954236345418,1826.800495877464,3176.911205154652,4647.716613526709,4983.812330499447,0.1935916619869616,0.1457581692258267,0.1014956662250819,0.0857534995032852,0.058925000306899,0.1935916619869616,0.1078695096428127,0.057332534551496,0.0601726079238476,0.0388522513425135,True,True,-0.0124921398708384,-0.2584489416424873,1.258448941642487,0.234062202503833,0.3524028139879178,0.6092090375701942,0.7194911357324293,0.7911454178618956,0.234062202503833,0.3309707543655935,0.6244674533186855,0.7324335740691483,0.7948219249353992,0.765937797496167,0.6690292456344065,0.3755325466813145,0.2675664259308516,0.2051780750646008,NO-PTV_FLAT-ALL,2021-09-26
6,NO,MOBILE_COMPUTING,ALL,2701,quantity,prophet,26,0.1676505757326797,1293.411751687495,1716.753948100211,0.1069142235902825,0.0854546922296959,0.1522705993495896,0.1032763312007255,0.0687524097818784,0.0722354389869762,0.076556603854446,928.2415736350986,1245.9061368146683,1425.5345357510068,3658.4411975645367,8151.452388343385,928.2415736350986,1421.25086490995,1556.054760542769,4892.679183111552,9735.394634940374,0.1522705993495896,0.0829520388048605,0.034204050399231,0.0509749101361164,0.0659263394290161,0.1522705993495896,0.0377601856164108,0.0007642005249034,0.0503864905714393,0.0729662062445945,True,True,-0.4365716409874354,-0.4109638706818819,1.410963870681882,-4.334721687558038,0.2691561010032741,0.4733895324155867,-0.5757126716475822,-3.4223721328964194,-4.334721687558038,0.4048072656297494,0.5271059782526941,-0.7195875675257628,-3.216594315405115,5.334721687558038,0.5951927343702506,0.4728940217473059,1.7195875675257628,4.216594315405115,NO-MOBILE_COMPUTING-ALL,2021-09-26
7,DE,PTV_FLAT,ALL,2701,quantity,prophet,26,0.2793447651117285,30794.223634816677,37421.68070227277,0.2667093768739099,0.2413954771430305,0.26867194547154,0.3082841925476609,0.273660687709109,0.2629101695766617,0.247148636005215,25223.893395048523,74041.48713632161,121386.59878134968,218129.91767807133,392666.9421956101,25223.893395048523,80740.60387203682,134382.27572384634,257579.27914193485,444713.4730081354,0.26867194547154,0.3082841925476609,0.273660687709109,0.2629101695766617,0.247148636005215,0.26867194547154,0.3074074158096035,0.2494155469416078,0.2481371220341773,0.2360854022929439,True,True,0.1201286763878316,0.1613796923928565,0.8386203076071435,0.3511701413432205,0.4307194859251885,0.4657484269225627,0.409646645861532,0.232801650513774,0.3511701413432205,0.4408689129507787,0.4733081469321949,0.38997583368067,0.1940910056573258,0.6488298586567794,0.5591310870492213,0.5266918530678051,0.61002416631933,0.8059089943426742,DE-PTV_FLAT-ALL,2021-09-26
8,DK,MEDIATABLETS,ALL,2701,quantity,prophet,26,0.1641912214776053,1037.0625689929475,1629.3815351877463,0.1386691788804813,0.1364987948313687,0.0330417200540254,0.0571096005802828,0.077687234975551,0.1285367223973666,0.1417290376868532,198.08511172388265,913.967308949722,2407.1918270942165,7434.61967644516,13612.782800914769,198.08511172388265,1059.8307248413016,3148.9934276200493,10015.355553349027,15723.680671181335,0.0330417200540254,0.0571096005802828,0.077687234975551,0.1285367223973666,0.1417290376868532,0.0330417200540254,0.0633083837393958,0.0925195818153826,0.1671359771764619,0.1565264445691125,True,True,0.2091038558681048,0.0401129435166986,0.9598870564833012,0.8451250103800761,0.6361232969245658,0.532533052960791,0.1889052048188395,-0.1196086087905567,0.8451250103800761,0.6239566353339461,0.4922784676199327,0.076140188843462,-0.183235831199704,0.1548749896199238,0.3760433646660539,0.5077215323800672,0.923859811156538,1.183235831199704,DK-MEDIATABLETS-ALL,2021-09-26
9,SE,PTV_FLAT,ALL,2701,quantity,prophet,26,0.296415907768394,4907.247560976043,7340.166037614334,0.0332701031957558,0.0482764241200818,0.0769062686076388,0.150379026369438,0.1950334283644302,0.1673934425502449,0.1170025299302447,991.091083546642,6523.203990322867,16906.266661555066,20932.22099246892,21964.48558498896,991.091083546642,9372.923315047829,21733.95713711506,24181.236070708528,23682.406693851648,0.0769062686076388,-0.0312571915461832,-0.1354725109528028,-0.1307405702969357,-0.0986760938035901,0.0769062686076388,0.1148827637964959,0.2069674956460149,0.1505762356824513,0.0891636099210015,True,True,-0.8530360176436587,-1.0336240208836829,2.033624020883683,0.0587928931180987,-0.769004471951964,-1.4356666479216362,-1.80978112798637,-0.4988776931754597,0.0587928931180987,-0.8084285406064602,-1.5621050244004349,-1.6532679087848243,-0.3699738301798689,0.9412071068819012,1.80842854060646,2.562105024400435,2.6532679087848243,1.369973830179869,SE-PTV_FLAT-ALL,2021-09-26
